TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.21014,2.32606,0.00157265,1.39138,0.0227006,0.584569,0.388291,0.115547,2.45683,0.189762,0.383472,0.102373
0.046439909,0.547812,2.22993,0,1.47041,0.0161441,0.127183,0.821665,0.0536755,2.44605,0.173334,0.629911,0.0539129
0.092879819,0.807115,2.1282,0,1.11491,0.0287152,0.0165819,1.43041,0.0532635,2.33582,0.173439,0.666574,0.12371
0.139319728,1.01035,1.85837,0.146103,0.799025,0.0684392,0.0141505,1.66202,0.0630508,2.49176,0.378706,0.372934,0.130668
0.185759637,1.03398,1.45655,0.237075,1.26058,0.139826,0.00829123,1.49889,0.0479606,2.67312,0.34694,0.23815,0.303154
0.232199546,0.985224,1.13355,0.197174,1.65096,0.28827,0.00144109,1.17919,0.0522162,2.55977,0.181083,0.452151,0.484313
0.278639456,1.05826,0.698199,0.300944,1.69665,0.378387,0,0.929639,0.0547829,2.62487,0.2763,0.658829,0.261964
0.325079365,1.04186,0.564711,0.426726,1.57964,0.415199,0,0.739539,0.0551986,2.42165,0.392962,1.07244,0.150255
0.371519274,1.15517,0.665461,0.432814,1.36898,0.359476,0.00965374,0.581215,0.361654,2.30826,0.529663,1.35154,0.156866
0.417959184,1.44644,0.605188,0.374213,1.36831,0.237477,0.0407996,0.553157,0.182395,2.43636,0.607057,1.15465,0.20693
0.464399093,1.93965,0.439898,0.283866,1.34836,0.0798984,0.0743642,0.631791,0.0180499,2.79391,0.636759,0.490031,0.177146
0.510839002,2.29518,0.263515,0.209133,1.25751,0.0405388,0.0268111,0.743148,0.018081,2.86787,0.631092,0.227134,0.248785
0.557278912,2.13602,0.0165506,0.147245,1.33149,0.0935812,0,0.676415,0.0182349,2.90617,0.398784,0.50604,0.531782
0.603718821,1.82287,0.0200707,0.124009,1.91186,0.113987,0,0.931902,0.024708,2.76619,0.329939,0.69419,0.658441
0.650158730,1.78822,0.0299409,0.06301,2.21551,0,0.0204053,1.11493,0.0294332,2.65867,0.429882,0.692695,0.763835
0.696598639,1.59047,0.0479297,0.109988,2.03151,0,0.142556,1.14578,0.0373192,2.78183,0.468525,0.740705,0.762396
0.743038549,1.59094,0.255335,0.0884372,1.69385,0,0.170337,1.16513,0.0627457,2.90623,0.449646,0.835883,0.700813
0.789478458,1.96785,0.299175,0.117006,1.30823,0,0.138416,1.1459,0.0715681,3.01032,0.444024,0.724306,0.697596
0.835918367,2.29387,0.177654,0.287143,1.27657,0,0.450262,1.03764,0.260827,2.90267,0.585862,0.35698,0.507607
0.882358277,2.12353,0,0.413783,1.23815,0,0.382177,1.12622,0.276261,2.83052,0.768659,0.529113,0.512781
0.928798186,1.9229,0,0.417248,1.16242,0.00732934,0.1211,1.36675,0.222388,2.57824,0.754574,0.671475,0.450769
0.975238095,1.74101,0.0254212,0.41118,1.25196,0.0678475,0.0740255,1.48763,0.20171,2.01526,0.625605,0.940485,0.384521
1.021678005,1.72161,0.244182,0.34715,0.943792,0.0177167,0.0926333,1.18991,0.102582,1.74736,0.450958,1.30707,0.314592
1.068117914,1.69075,0.324376,0.257086,0.680151,0.0428189,0.150921,1.1033,0.0182013,1.88046,0.488239,1.45026,0.244926
1.114557823,1.95574,0.192961,0.219893,0.856086,0.01892,0.105107,0.961454,0.070101,2.09342,0.709703,1.2046,0.129323
1.160997732,2.00327,0.111033,0.236187,1.29953,0.00162098,0.0287345,0.821996,0.078348,2.32824,0.570415,1.01438,0.131257
1.207437642,1.93607,0.00754517,0.267107,1.81615,0,0.0345546,0.67314,0.0166211,2.63001,0.700332,0.853272,0.183261
1.253877551,1.83166,0.000142175,0.290718,1.85267,0.0110528,0.029412,0.561097,0.0106369,2.69807,0.678212,0.882416,0.231909
1.300317460,1.58145,0.0209254,0.347377,2.01655,0.0218517,0.0436363,0.674823,0.0152093,2.65515,0.478067,0.79238,0.210006
1.346757370,1.3807,0,0.419827,1.91402,0,0.0456056,0.784344,0.0555663,2.67572,0.457433,0.873098,0.310734
1.393197279,1.23087,3.37704e-05,0.479159,1.94386,0,0.17955,0.636337,0.0641215,2.7857,0.464261,0.979252,0.343172
1.439637188,1.53323,0.00115147,0.376705,1.85423,0.00909943,0.168558,0.725186,0.071831,2.82682,0.426126,0.954405,0.152158
1.486077098,1.95701,0,0.357467,1.75328,0.0129757,0.0184431,1.20221,0.0486157,2.74063,0.107439,1.12769,0.124725
1.532517007,2.08007,0,0.25129,1.71962,0,0.0426748,1.07068,0.236672,2.86496,0.0455458,0.886301,0.122231
1.578956916,2.08202,0,0.116236,2.10657,0.010973,0.0279966,0.628395,0.31185,3.25916,0.0437872,0.601449,0.06518
1.625396825,2.05865,0,0.0956081,2.25353,0.0370614,0.000549457,0.295696,0.351889,3.64232,0.0469883,0.406687,0.0169394
1.671836735,2.10356,0.000310305,0.0403857,2.32747,0.0174252,0,0.143446,0.372143,3.77193,0.0551301,0.237959,0.0152248
1.718276644,2.02748,0.0422198,0.027299,2.30629,0.0163295,0,0.225215,0.290937,3.7042,0.187394,0.162363,0.046736
