TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-355.24,18.2112,9.00949,6.90203,1.30362,2.53204,-1.55919,0.0491034,-2.31397,-2.17166,-2.40973,-2.17456,-3.09804,-3.94114,-3.00888,-0.966113,-0.0263441,-1.19331,0.0195251,0.689115,1.52653
0.023219955,-388.203,37.6488,-0.460937,11.6,-1.86072,7.97323,-11.3771,4.53086,-6.72813,4.86253,-9.19994,3.15783,-8.56441,0.239963,-8.69814,2.02079,-8.05775,-0.681003,-5.06498,4.77644,-3.39715
0.046439909,-390.738,39.6333,-1.28671,14.063,-2.66172,9.8219,-11.8877,3.83122,-6.32743,5.19608,-8.5498,5.21997,-7.83004,1.72873,-8.81885,0.881566,-7.97775,1.41832,-3.32252,5.76491,-3.18528
0.069659864,-389.213,39.4067,0.172063,15.7524,0.723183,12.9117,-6.1018,7.73201,-4.83447,7.73296,-8.06747,5.31486,-9.96973,1.61808,-9.3727,3.01326,-7.11876,1.83097,-3.22573,6.90867,-1.45115
0.092879819,-388.772,38.2487,2.50495,17.1108,4.32797,14.0684,-4.00181,10.2324,-1.18013,8.01404,-2.52049,3.39904,-5.91769,-1.52302,-6.8016,1.99869,-3.46547,2.30166,-0.970297,3.42936,-0.212304
0.116099773,-382.394,45.7107,2.80387,19.2895,2.31721,16.41,-7.42587,10.824,-5.8876,9.89053,-6.02244,9.07061,-7.95003,5.34616,-5.94226,5.90423,-6.53287,4.67487,-4.04254,4.93387,-5.24262
0.139319728,-376.977,45.9312,3.94166,16.8576,6.66956,11.4952,-3.92332,8.27109,-5.06475,5.83308,-6.65602,6.33033,-4.08901,2.83044,-4.4215,4.25928,-4.79383,2.96818,-2.44036,2.4297,-0.270565
0.162539683,-371.579,48.8565,3.85778,17.5867,6.90609,15.8971,-3.93197,7.45737,-4.98677,6.26927,-6.17475,4.11404,-5.16701,4.11062,-3.31434,2.92957,-2.03613,1.60197,-2.28342,2.37762,-0.193299
0.185759637,-371.54,48.5112,3.70098,19.4409,5.90858,12.7236,-3.42981,9.57506,-4.44957,3.95144,-6.27343,5.20125,-5.51442,3.28571,-4.03964,5.63307,-2.3603,4.79439,-4.09688,2.8964,-1.29079
0.208979592,-367.539,50.0984,1.41791,20.3629,5.13862,13.0297,-5.94849,7.3055,-7.37495,6.57147,-5.39758,7.95807,-6.25037,7.83892,-5.03028,6.24539,-3.73541,3.5828,-3.53634,5.21797,-3.21703
0.232199546,-363.16,52.2233,0.475792,20.959,3.37455,13.7141,-5.72721,10.4719,-5.79785,5.62845,-7.94875,7.69313,-5.11844,7.44148,-4.91857,5.72396,-4.419,5.86104,-3.92792,3.16775,-4.28488
0.255419501,-360.359,51.9492,2.51636,19.7549,6.28451,11.882,-4.66841,4.06788,-5.85391,7.417,-3.87143,4.23854,-4.64608,5.06549,-2.14365,5.75945,-2.06482,1.3161,-4.52746,4.75725,-2.42235
0.278639456,-356.033,55.5482,-0.56337,19.1139,6.30802,10.8754,-8.23662,9.02116,-4.18117,5.66794,-3.4538,7.07574,-4.89312,4.92426,-2.88896,5.37204,-2.54068,4.03789,-4.56649,2.22755,-2.16766
0.301859410,-356.698,54.4244,0.676923,19.6838,5.91306,9.54816,-6.81192,7.74247,-5.57582,8.53336,-3.99031,7.48801,-3.68464,7.01122,-6.45651,3.31916,-3.00061,5.39158,-3.66708,4.97003,-2.36272
0.325079365,-351.267,54.2652,-2.56261,17.6386,6.94619,12.1204,-5.43931,8.67291,-5.56476,5.35862,-3.26819,7.81627,-2.48031,6.60308,-3.5913,2.99952,-4.69306,2.85127,-2.15823,3.28776,-3.09242
0.348299320,-350.918,53.1735,0.232638,17.8332,6.33504,8.69297,-2.38485,7.73906,-0.406046,8.15594,-0.347675,7.78816,-2.86244,3.8486,-4.24454,1.47782,-2.58242,1.99983,-4.83755,1.30193,-1.54596
0.371519274,-345.177,53.7635,-3.63568,16.8688,8.08022,8.62844,-3.43654,10.4507,-0.498196,8.50218,1.18942,9.72343,-2.83866,3.24246,-6.11374,-0.371933,-3.666,2.22949,-1.84301,1.01325,-2.68264
0.394739229,-342.292,54.3219,-7.90705,18.4152,8.04142,11.1169,-2.5381,9.26169,-0.507259,11.5027,1.5234,7.92987,-2.87514,1.8992,-6.69916,-0.588373,-4.30062,0.993574,-3.48083,0.205728,-0.191916
0.417959184,-341.206,54.7201,-8.28627,19.2578,6.87541,10.9032,-2.63269,11.5461,-1.94331,9.97757,-0.588082,7.63103,-1.64527,3.07103,-2.52363,2.20104,-4.44494,-0.732662,-3.09693,0.370265,0.0861967
0.441179138,-330.616,49.637,-5.0536,13.5688,11.57,4.598,2.25392,5.69568,3.32089,4.29331,2.95566,3.17312,1.38406,1.40607,-1.13472,1.04716,-1.08074,-0.23095,0.499706,-1.20672,0.0938201
0.464399093,-330.65,55.3889,-8.43112,19.2753,9.07103,10.4434,-3.64484,6.13382,-3.355,7.17743,0.756912,4.66363,-1.30812,5.11471,-3.99408,1.92133,-2.88822,0.935025,-1.51852,1.95595,-1.52299
0.487619048,-331.622,57.6615,-10.1261,18.9528,7.72999,10.9601,-1.58126,7.86449,-4.6042,5.2023,-1.61203,4.86317,-2.80641,5.25347,-4.91276,4.03008,-2.97484,4.58807,-2.94715,2.69326,-3.32368
0.510839002,-335.661,60.4433,-11.7096,20.0752,7.28432,12.3276,-6.08013,12.7959,-6.90774,7.25697,-5.29822,6.07804,-5.71573,7.69613,-4.34244,6.12038,-4.45853,3.36001,-3.92926,3.54708,-4.52786
0.534058957,-334.816,59.3696,-6.78885,17.0593,8.64442,10.8918,-5.4061,10.4527,-3.613,3.7742,-2.29821,5.55437,-4.73565,3.46241,-4.07659,4.62991,-2.17557,3.24468,-4.21437,1.22856,-3.4332
0.557278912,-334.811,57.9938,-6.86322,16.0911,10.7057,9.21873,-3.723,7.45324,-2.96693,3.83559,-1.31312,4.15465,-4.71433,2.96237,-3.81807,1.75332,-0.685361,3.05734,-1.09672,1.78819,-2.82398
0.580498866,-339.522,56.9276,-3.13478,16.0737,9.11809,9.57913,-4.11099,8.73231,-1.04058,4.3656,-3.0131,3.02452,-3.67574,5.13901,-3.24197,2.72108,-2.05167,2.01855,-2.80477,2.57888,-1.43676
0.603718821,-336.289,57.4556,-5.63961,17.4843,8.25206,11.3911,-4.2072,8.81976,-2.66968,6.25289,-2.71929,5.16822,-1.62276,5.15979,-2.78546,3.38406,-3.98031,4.36904,-1.14996,3.50117,-3.32901
0.626938776,-335.434,59.7381,-7.57404,18.6223,4.96538,10.5886,-4.81745,9.40493,-6.88053,6.34075,-4.1255,5.81343,-4.37205,6.52339,-5.15347,5.13535,-3.25133,5.85044,-3.47564,4.75934,-3.01913
0.650158730,-332.437,58.1165,-7.69852,17.9925,6.7436,9.02407,-5.44608,6.3588,-5.5615,4.42598,-3.33575,3.45292,-2.07345,5.40688,-3.78449,4.14307,-2.31589,2.60652,-0.187076,2.77058,-2.28888
0.673378685,-337.401,60.5822,-7.1187,15.4698,2.82444,9.5497,-5.50805,7.88126,-5.82546,3.67885,-3.159,2.9911,-2.24063,7.0333,-4.02621,3.62907,-0.775634,3.33637,-1.41521,2.39704,-2.29688
0.696598639,-336.107,65.4149,-11.3846,15.9365,1.48469,13.4383,-8.83622,9.19471,-8.70008,7.44953,-5.28728,5.80565,-6.4981,6.59364,-3.3006,6.20617,-2.59968,5.12295,-5.31666,3.96168,-2.31568
0.719818594,-334.446,63.1939,-7.79252,14.2994,3.39362,10.0323,-5.12956,6.79754,-6.21215,5.92617,-5.33189,5.92762,-6.64952,3.63829,-2.47167,4.29397,-2.25756,4.86654,-3.33242,3.09851,-3.26555
