TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0.324271,1.72287,1.11908,0.600452,0.200189,0.164122,1.13793,0.639804,0,0.475977,1.27452,0.0328985
0.185759637,0.12658,1.61511,1.02403,0.197837,0.775334,0.228609,0.965995,0.217902,0.599481,0.457242,0.884157,0.254009
0.232199546,0.15328,1.4918,1.11397,0.297428,0.773562,0.538482,0.580332,0.0868049,0.916165,0.202625,0.887628,0.526865
0.278639456,0.422844,1.35087,0.984639,0.390316,0.441966,0.671329,0.206208,0.0358633,1.02057,0.483409,0.872473,0.906564
0.325079365,0.618976,1.24176,0.567707,0.719684,0.404438,1.04053,0.0180685,0.0816246,0.99049,1.25571,0.944057,0.821914
0.371519274,0.796424,0.926022,0.262809,0.888701,0.468513,1.416,0.0128919,0.428041,1.01715,1.72717,0.723767,0.672424
0.417959184,0.81029,0.816413,0.347952,0.996684,0.378852,1.51974,0.106056,0.675663,0.979774,1.65657,0.544713,0.558002
0.464399093,1.10354,0.643864,0.818695,0.670633,0.545397,1.2115,0.220681,0.813139,0.639904,1.19376,0.578966,0.623184
0.510839002,1.00301,0.431495,0.748438,0.507358,0.764212,0.682927,0.459407,1.17938,0.172265,1.13408,0.346693,1.03228
0.557278912,0.456693,0.699152,0.858201,0.332,1.18812,0.444332,0.622669,1.25193,0.0127708,1.08875,0.538455,1.22994
0.603718821,0.69088,0.582733,0.877437,0.591204,0.944909,0.0942092,1.21216,0.933025,0.246082,0.544095,0.768528,0.982515
0.650158730,0.749048,0.215974,0.912083,0.648951,0.505858,0.131722,1.50285,0.645599,0.797168,0,0.672363,0.759892
0.696598639,0.825684,0.436055,0.603724,0.595103,0.451349,0.329169,1.40757,0.386646,1.13278,0.0015671,0.166015,0.618912
0.743038549,0.699926,0.939212,0.334178,0.45517,0.553778,0.97951,1.08724,0.615629,1.02392,0.0755121,0.0852057,0.566386
0.789478458,0.620291,0.991441,0.334445,0.824799,0.254864,1.41452,0.596785,0.75678,0.894565,0.099332,0.119204,0.635496
0.835918367,0.464323,0.478055,0.333155,1.23729,0.0333919,1.68943,0.378928,0.642136,1.19074,0.0702676,0.004538,0.483419
0.882358277,0.585969,0.457353,0.558116,1.14617,0.0328518,1.3656,0.390888,0.448511,1.70281,0.0687805,0.366032,0.494964
0.928798186,0.640925,0.392249,0.5611,1.02123,0.028008,0.8535,0.603134,0.201462,1.81982,0.0477926,0.794121,0.518167
0.975238095,0.432443,0.427273,0.667609,0.88792,0.134184,0.995183,0.694612,0.221561,1.4578,0.00347198,1.12203,0.571295
1.021678005,0.516903,0.48488,0.705711,0.71871,0.297887,1.30569,0.871331,0.249905,0.928481,0.17452,1.00213,0.576878
1.068117914,0.575023,0.530653,0.384806,0.41983,0.504197,1.69101,0.456964,0.454335,0.908814,0.166258,0.139577,0.940236
1.114557823,0.646447,0.717346,0.361015,0.317055,0.368081,1.53228,0.376423,0.67483,1.15094,0.348916,0.172618,0.675154
1.160997732,0.743374,0.716688,0.344014,0.321555,0.0228516,1.18478,0.665358,0.695777,1.14195,0.575802,0.159137,0.636234
1.207437642,0.79094,0.39772,0.818263,0.202585,0.109703,1.33372,0.737797,0.581455,1.01569,0.753793,0.119642,0.758601
1.253877551,0.811897,0.25479,1.08718,0.234588,0.187615,1.33504,0.455288,0.523522,0.625086,1.23244,0.0774475,0.803228
1.300317460,0.751939,0.639935,1.18424,0.5407,0.333958,0.959749,0.313424,0.369735,0.327467,1.19987,0.0152855,0.789386
1.346757370,0.572363,0.766913,0.528503,1.03597,0.251956,0.772946,0.556919,0.507876,0.501561,1.40073,0.0398651,0.625977
1.393197279,0.601909,0.524443,0.330083,1.36381,0.560592,0.463062,0.623277,0.391306,0.658097,1.2982,0.00092926,0.731056
1.439637188,0.391555,0.326913,0.978746,0.77329,1.20208,0.570269,0.573228,0.37925,0.830992,1.08047,0.10639,0.750171
1.486077098,0.228895,0.592095,0.948173,0.627935,1.12652,0.6895,0.313653,0.570117,0.736983,0.580817,0.49441,0.609371
1.532517007,0.175586,1.16831,0.753652,0.332309,0.68572,0.84295,0.405854,0.798256,0.895857,0,1.14708,0.61566
1.578956916,0.342068,1.45398,0.554257,0.475919,0.248175,0.580779,0.671519,0.69054,0.679205,0.0491048,1.45988,0.607929
1.625396825,0.40774,1.35355,0.549866,0.797234,0.0286184,0.620109,0.750045,0.161953,0.633624,0.627251,0.87432,0.563991
1.671836735,0.458694,1.17816,0.359269,1.17715,0.354476,0.535943,0.860011,0.174848,0.85288,0.499561,0.776221,0.51932
1.718276644,0.496695,0.535353,0,1.18866,0.522355,1.05454,0.597827,0.603271,0.515957,0.218998,0.37531,0.692699
