TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-637.342,43.8718,10.8932,-2.37546,4.90515,8.53153,3.76669,-0.949969,0.677684,1.13734,-2.85538,-5.67218,-1.99689,3.00112,3.9975,2.48396,1.81516,1.23945,-1.05222,-3.50258,-3.30029
0.023219955,-603.834,63.7186,-27.1266,33.2956,-1.68666,11.4299,13.1186,-6.15649,10.8379,3.41158,1.57658,6.47689,-4.32706,4.92273,-0.210231,-2.94058,1.24684,-2.95999,-0.0451366,-3.46198,-3.81518
0.046439909,-540.999,62.9541,-37.7856,34.7338,-5.13648,7.11139,12.9065,-9.29505,9.25816,1.20057,2.4688,6.93115,-7.78675,3.83633,-0.709119,-0.178443,3.30409,-4.51049,1.39754,-3.12767,-3.76528
0.069659864,-555.244,87.1553,-64.4349,49.3989,-20.4023,10.4614,13.1226,-5.33798,19.0865,-2.33934,3.98366,6.77453,-6.68879,8.33592,-2.85311,0.581788,3.1417,-6.72214,1.21605,-5.65243,-4.19904
0.092879819,-519.646,58.7689,-41.2237,32.3967,-5.81815,6.30203,14.8783,-3.42773,12.944,2.58011,3.86683,8.682,-4.74434,4.83592,-1.23178,-0.632312,0.0139749,-6.52062,0.961045,-5.37449,-4.24645
0.116099773,-525.81,61.5183,-41.8076,33.0721,-6.65848,5.30378,15.829,-2.35966,13.6254,2.40144,2.31318,8.31376,-4.71732,4.2334,-3.7827,-3.22653,2.14692,-6.98749,-1.29445,-2.47548,-3.93679
0.139319728,-513.131,58.6641,-40.7124,33.0972,-6.34746,7.12907,11.0628,-3.14273,14.0399,-0.240812,2.73042,6.62077,-2.23239,4.82497,-4.93648,-0.911952,0.972734,-3.65539,0.21425,-3.40238,-2.05423
0.162539683,-507.419,57.7051,-35.9649,33.3965,-9.88062,9.97914,11.2677,-3.44868,13.2374,0.199331,5.0422,2.96265,-3.42459,6.0752,-3.26925,1.80221,-1.01813,-3.73638,0.971916,-3.70103,-0.94586
0.185759637,-518.283,58.6072,-42.8027,38.5285,-7.23326,11.5976,10.6892,-3.94631,13.5779,-1.28306,6.37656,2.12827,-5.80196,2.8416,-4.51984,3.35681,-3.20622,-3.57191,0.744227,-5.38297,0.816744
0.208979592,-503.67,56.452,-36.3795,31.2262,-7.5416,9.56927,9.14193,-0.955567,13.2174,-2.41178,3.93234,3.66515,-2.43681,4.93486,-2.94241,1.94095,-1.18368,-1.25943,0.971657,-4.90206,-2.30122
0.232199546,-503.701,55.2108,-39.911,36.9955,-15.8439,24.0143,-0.727441,8.68147,4.38101,3.06029,3.94948,-0.182545,2.81628,-2.90066,3.88987,-3.02078,2.73467,-2.6033,-0.71768,-1.07833,-4.6543
0.255419501,-463.722,16.9167,-6.57203,7.89604,3.16037,7.65354,6.14167,9.52719,3.83452,5.67453,0.554997,4.68426,-3.54628,1.45982,-3.47927,-0.897699,-3.02876,-0.993563,-3.44853,0.0683007,-2.05119
0.278639456,-396.374,18.585,-1.13159,11.802,-2.71963,6.97349,1.13091,5.17451,1.00431,2.27262,-0.852665,1.13556,-0.357907,1.09748,-3.56666,1.09975,-1.93936,0.147554,-3.20298,0.655554,-3.52897
0.301859410,-398.096,17.7069,-4.37337,14.3469,-2.11089,10.9596,3.53966,9.04394,2.82467,6.33957,-0.337392,1.31047,-3.57866,1.69872,-4.14494,-0.296782,-4.34184,1.23805,-4.66926,0.700203,-3.44739
0.325079365,-398.362,19.9708,-4.56131,14.3626,-4.78547,10.3351,-3.04568,6.37149,-0.301367,4.55151,-2.72115,1.07409,-4.48492,1.81073,-3.24212,1.58221,-6.9885,0.141511,-5.60474,-0.326542,-3.60082
0.348299320,-395.693,20.2384,-2.05277,13.7191,-4.99976,8.37947,-2.39893,5.15535,1.42073,4.86509,-2.58741,0.685258,-3.50252,2.28811,-2.52617,-1.12724,-5.27513,-2.00734,-3.92844,0.73358,-1.81763
0.371519274,-398.854,22.3495,-4.1628,14.4245,-5.21856,15.8319,0.273266,8.65431,-0.328639,5.38155,-5.70171,3.21097,-5.48013,1.31069,-4.88744,1.11881,-7.73404,2.93479,-2.95021,0.578316,-3.15295
0.394739229,-397.24,20.7504,-4.77273,14.4389,-6.40623,8.83088,-1.14809,6.62726,-1.29627,5.62091,-2.11423,3.0659,-1.44997,3.98467,-3.25701,1.28564,-3.86113,2.30672,-0.908657,2.15519,-3.30671
0.417959184,-397.428,17.1823,-2.9874,13.0787,-4.98689,6.39583,-0.435132,6.36743,3.96194,3.40181,-3.33791,-0.686157,-4.35089,-0.46128,-5.13976,-1.77739,-4.60871,-0.263856,-1.69615,0.731898,-1.49117
0.441179138,-397.487,17.0035,-4.71298,14.7773,-1.98656,12.6209,4.18087,9.03424,0.852285,4.03716,-1.21018,0.793343,-2.26869,0.652822,-3.41308,-1.53087,-2.97059,2.22183,-2.15295,-1.06645,-2.63584
0.464399093,-396.502,19.4338,-5.83783,15.9625,-3.92107,12.0254,-0.968299,7.74615,-2.60495,3.8805,-3.27037,3.89149,-3.37612,3.79719,-2.59068,3.61285,-7.23407,0.112796,-5.04379,0.61061,-4.70539
