TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.000327906,0.395919,1.00097,0.0929774,0.00123167,0.292103,0.0112329,1.74512,0.698545,0.0589475,0.311605,0.822781
0.046439909,0,0.230896,1.10156,0.0734019,0.0155588,0.233652,0.00660399,2.24795,0.4601,0.00298778,0.484121,0.760729
0.092879819,2.44903e-06,0.130808,1.05775,0.0636805,0.0179308,0.137457,0.00448544,2.36793,0.076324,0,0.49476,0.67639
0.139319728,0.000272078,0.396262,1.04359,0.0701435,0.0206183,0.137572,0.00446844,2.29931,0.00278878,0.352417,0.309917,0.470013
0.185759637,0.000367936,0.594419,1.02229,0,0.00661076,0.366795,0.0227429,2.3152,0.17544,0.701536,0.186294,0.142298
0.232199546,0.000171806,0.54009,0.830914,0.000792722,0.062969,0.283004,0.0301822,2.37281,0.174717,0.794745,0.246869,0.137928
0.278639456,0,0.360075,0.638573,0.0110145,0.203528,0.0648575,0.0218302,2.30692,0.273146,0.44037,0.523583,0.148014
0.325079365,3.37443e-05,0.0013045,0.218474,0.00283783,0.052983,0.0606165,0.905303,3.40209,0.173201,0.00079862,0.10509,0.161941
0.371519274,0,0.339221,0.217174,0.138339,0,0.0314658,0.533411,3.61706,0,0.0409334,0.68354,0.180405
0.417959184,0.0730757,0.46946,1.23207,0.249853,0.00603826,0.0255896,0.237837,3.84086,0.0889866,0.0488426,0.881021,0.0684407
0.464399093,0.202938,0.597848,1.52521,0.309586,0.0109617,0.0226784,0.107577,3.95079,0.188723,0.0680368,1.03623,5.61599e-05
0.510839002,0.309282,0.646624,1.64014,0.28234,0.0127384,0.0123175,0.048843,3.97155,0.209912,0.048377,1.28206,6.52906e-05
0.557278912,0.345536,0.510931,1.6713,0.229677,0.0142334,0,0.0873086,4.0035,0.0848261,0.00276927,1.43539,5.85428e-05
0.603718821,0.311276,0.534265,1.68646,0.219951,0.0104881,0,0.214071,4.05691,0.0678994,0,1.40673,2.41887e-05
0.650158730,0.295044,0.124809,1.68386,0.163637,0.00186627,0,0.151411,4.128,0.0322744,0,1.41748,0
0.696598639,0.302501,0.140069,1.68316,0.122142,0,0,0.0154474,4.17943,0.175679,0,1.48599,0.209789
0.743038549,0.33073,0.0848303,1.65327,0.110864,0,0,0.0325623,4.3055,0.0617122,0,1.50727,0.349053
0.789478458,0.298767,0.0212782,1.68405,0.142068,0,0.0188867,0.153941,4.27109,0,0,1.57281,0.40652
0.835918367,0.280093,0.0429032,1.67694,0.133971,0,0.0307882,0.194423,4.28294,0,0,1.52503,0.397237
0.882358277,0.235336,0.0405014,1.66059,0.111491,0.00435135,0.030624,0.164823,4.31983,0,0,1.49803,0.352359
0.928798186,0.224638,0.0913856,1.66343,0.114824,0.00486829,0.0204069,0.0375585,4.26513,0.2455,0,1.55967,0.383546
0.975238095,0.227226,0.0353719,1.66893,0.101958,0,0,0.0576765,4.31557,0.00965586,0,1.74162,0.400324
1.021678005,0.171253,0,1.63987,0.0144957,0,0,0.151819,4.26894,0,0,1.77316,0.414539
1.068117914,0.13576,0,1.64216,0.0156535,0,0.00454752,0.105701,4.33269,0,0,1.6979,0.535734
1.114557823,0.10609,0.000285783,1.64038,0.0191876,0,0.0175744,0.0149936,4.35701,0,0,1.68227,0.572543
1.160997732,0.150828,0.0269689,1.64921,0.0190254,0,0.0101412,0.0271235,4.30609,0.00229753,0,1.81946,0.36957
1.207437642,0.223624,0.0240241,1.80956,0.0567746,0,0,0.0248219,4.11374,0.00376488,0,1.9121,0.0951447
1.253877551,0.236556,0.0711565,2.08345,0.242173,0,0,0.00391798,3.8089,0.00399989,0,1.8294,0.00131289
1.300317460,0.159478,0.059363,2.30574,0.274759,0.0030231,0,0,3.57604,0.00353261,0,1.59471,0.119206
1.346757370,0.000677107,0.0344279,2.29788,0.287843,0.143399,0,0,3.39114,0.254488,0.05457,1.24324,0.150667
1.393197279,0.000714975,0.00150884,2.25271,1.00503,0.112248,0,0.118446,2.66527,0.451837,0,0.91105,0.0981332
1.439637188,0.000524582,0.158246,1.6401,0.392974,0.00570355,0.00066917,0.646574,3.42723,0,0.00216362,1.03441,0.0866824
1.486077098,0.227829,0.00271421,0.619382,0.138622,0.122678,0.00760666,0.609295,3.52673,0,0.00106832,1.25247,0.130394
1.532517007,0,0.00201686,0.620016,0.0509458,0.177267,0,0.51572,3.74959,0.00319998,0.000745761,1.32169,0.193854
1.578956916,0,0.0215916,0.656514,0.0118349,0.145762,0.0101991,0.513512,3.71964,0.485462,4.6758e-05,1.29487,0.199986
1.625396825,0.11471,0.31529,1.09034,0.0173202,0.109604,0.00740096,0.100859,3.22148,0.879329,0.0001103,1.32603,0.165399
1.671836735,0.0133615,0.599633,0.908303,0.0152733,0.121154,0,0.4622,3.56832,0.210675,0.000513674,1.39677,0.146704
1.718276644,0.181514,0.578244,0.679398,0.0309494,0.100087,0,0.534088,3.83707,0.00857269,0.012769,1.40335,0.12073
1.764716553,0,0,0,0,0,0,0,0,0,0,0,0
1.811156463,0,0,0,0,0,0,0,0,0,0,0,0
1.857596372,0,0,0,0,0,0,0,0,0,0,0,0
1.904036281,0,0,0,0,0,0,0,0,0,0,0,0
1.950476190,0,0,0,0,0,0,0,0,0,0,0,0
1.996916100,0,0,0,0,0,0,0,0,0,0,0,0
2.043356009,0,0,0,0,0,0,0,0,0,0,0,0
2.089795918,0,0,0,0,0,0,0,0,0,0,0,0
2.136235828,0,0,0,0,0,0,0,0,0,0,0,0
2.182675737,0,0,0,0,0,0,0,0,0,0,0,0
2.229115646,0.560817,0.19358,0.00466045,0.0190691,0,1.99203,0.465185,1.51879,0,0.143664,1.56007,0.112571
2.275555556,0.507675,0.169771,0.00510031,0.0184207,0.0463611,2.22651,0.220245,1.6009,0,0.121727,1.21595,0.11896
2.321995465,0.536276,0.0127432,0.0384764,0.0622777,0.119129,2.47001,0.0116533,1.54564,0.0245267,0.0724701,0.786271,0.675132
2.368435374,0.443896,0.00376812,0.376147,0.0332549,0.0807644,2.66648,0,1.45898,0.0936054,0.0210499,0.576274,0.945897
2.414875283,0.420751,0.00387139,0.827796,0,0.028173,2.76891,0,1.3269,0.0936747,0.0166299,0.55619,1.11598
