TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-516.875,-5.10999,-3.73428,-8.46161,-3.37962,0.0636861,1.05747,3.64595,5.51934,7.4886,6.09282,2.5522,0.129709,-3.80369,-2.36736,-0.448898,1.91855,0.274272,-1.09682,-1.78303,-1.05165
0.023219955,-393.805,29.8477,-8.87672,-32.3885,-22.135,-14.8415,-10.4371,-3.19728,4.22558,11.7068,14.0444,12.1772,8.73656,2.07354,-0.874241,-0.348696,-3.87423,-4.09069,3.57136,7.08007,5.06509
0.046439909,-404.848,24.8926,-10.2956,-34.1224,-20.4132,-9.26141,-8.87813,-4.34117,3.58474,8.80367,9.29042,9.5213,9.73966,2.81754,-2.9076,-3.11951,-5.55776,-4.93675,0.645524,7.38082,8.40765
0.069659864,-399.418,24.9195,-12.695,-35.1924,-16.837,-6.39997,-5.3011,-2.93989,3.43471,5.29646,7.05156,11.2458,10.2257,2.53333,-2.72479,-4.65004,-9.08642,-9.66177,-1.33702,7.7388,8.61448
0.092879819,-399.905,24.8822,-13.3544,-36.5078,-17.6922,-6.01732,-3.98575,-3.08957,1.67105,4.13389,7.13892,14.0684,12.2681,2.72735,-3.16537,-4.0717,-7.28979,-10.7331,-0.757798,9.56437,9.07318
0.116099773,-400.803,23.2415,-13.3681,-36.7752,-17.6484,-5.22761,-4.30818,-6.13229,-2.09382,1.75023,7.47687,14.6931,12.6833,5.08476,-1.3103,-4.31153,-9.1272,-9.24053,0.247605,11.8152,11.6327
0.139319728,-398.956,27.6076,-7.70383,-31.3282,-18.5593,-8.44624,-9.25759,-6.34529,0.715774,4.1265,8.43061,12.3531,10.6,2.88665,-3.11607,-5.00694,-6.95132,-7.41559,-0.869733,8.87646,10.0059
0.162539683,-405.528,22.4819,-4.7945,-23.6803,-16.0279,-13.835,-10.013,-5.17725,3.321,9.2981,14.256,18.0912,14.601,6.351,-3.89102,-9.36387,-11.6122,-7.61454,-1.45104,5.67662,9.32096
0.185759637,-416.083,23.8276,3.20309,-24.7683,-16.9552,-14.0612,-13.9437,-7.366,1.5483,7.07881,8.82882,11.879,12.2749,2.4235,-3.39928,-5.25096,-8.28228,-7.21605,-0.777007,6.95231,10.7754
0.208979592,-418.931,19.5624,0.950936,-23.2671,-18.429,-14.5232,-8.63067,-6.4821,-0.270799,6.5223,12.1987,14.3926,11.9838,4.04338,-1.17609,-5.31519,-10.6515,-6.83237,1.50494,8.33709,9.15157
0.232199546,-421.173,18.9062,-0.0916262,-24.3074,-20.5557,-13.7615,-11.5809,-6.06541,1.63941,8.00891,10.3839,11.1058,7.67108,1.29043,-2.88648,-6.05426,-7.85318,-5.80464,3.71343,10.0984,7.42048
0.255419501,-411.566,22.0014,-2.98809,-27.1122,-20.2087,-13.5039,-8.54356,-4.50489,3.99567,9.48837,12.4427,11.5973,7.90613,2.31375,-5.2316,-6.83049,-7.55124,-5.28976,3.03095,9.37171,8.25913
0.278639456,-416.318,19.1956,-8.87436,-29.6551,-15.3339,-6.11908,-3.44968,-2.66586,2.21331,7.31051,8.46217,11.8504,11.3493,4.61963,-2.77919,-6.76503,-8.01234,-6.29704,1.71886,11.4702,10.2435
0.301859410,-408.282,21.1043,-11.4205,-33.6893,-18.3402,-5.97551,-5.4246,-5.57598,0.386519,5.28552,8.57312,15.4002,13.885,6.46218,-2.10993,-7.02519,-8.82874,-5.52642,0.522801,10.7265,11.9833
0.325079365,-408.062,21.1353,-10.5876,-33.8783,-16.2395,-3.74161,-4.16538,-3.185,1.82799,4.24967,7.33813,14.778,14.7777,6.09343,-2.92682,-7.46953,-10.8181,-9.3224,0.0900559,9.5749,9.88219
0.348299320,-408.021,20.8563,-7.6992,-31.7637,-18.7049,-7.76435,-6.86697,-4.30763,2.09352,4.48357,6.9344,11.4527,12.1535,7.18532,-2.02948,-7.16539,-8.74506,-6.72039,0.738481,8.73621,10.9128
0.371519274,-414.042,21.4889,0.450286,-23.4251,-18.6068,-14.9668,-12.6404,-5.80292,3.0584,4.37936,7.98594,15.5863,16.8605,6.60265,-2.36385,-8.88159,-9.40587,-6.26648,-0.471715,6.58988,7.5428
0.394739229,-417.581,23.4056,3.71523,-21.2188,-19.6247,-14.9551,-7.88057,-6.35955,-1.90262,5.32901,9.59877,12.6833,12.45,6.07248,-1.10309,-6.45803,-9.21376,-5.84391,0.804673,7.95947,9.73853
0.417959184,-427.236,17.0685,4.26288,-19.1082,-17.9783,-14.1425,-7.53447,-4.46497,-0.393047,5.99436,9.27433,12.9059,12.3327,6.85161,-2.01176,-7.79631,-8.75701,-5.3935,2.4044,8.56584,8.31208
0.441179138,-428.575,16.4629,6.62066,-18.2058,-15.8176,-12.0268,-8.57777,-5.70045,0.564748,6.60716,12.1297,13.2364,8.84284,4.98234,-0.465518,-6.4731,-9.71708,-6.45483,0.818103,6.44972,8.11539
0.464399093,-392.203,37.215,9.02833,-18.821,-15.4507,-13.0874,-11.1299,-8.69792,-1.11669,2.51036,5.43822,5.02676,1.2839,-4.18941,-3.47037,-4.81975,-6.09235,-5.2486,3.67151,8.97682,4.79767
0.487619048,-359.643,63.182,26.5881,-7.86776,-3.42439,0.9212,-4.92343,-10.196,-10.2494,-8.28683,-5.74881,-3.80693,-2.31417,-3.06723,-1.97797,-2.87968,-2.19699,-2.64213,1.22281,5.10012,5.16208
0.510839002,-350.804,71.9185,29.1495,-6.30828,-3.0992,1.3376,-4.49903,-10.0761,-6.88603,-6.0645,-2.23766,0.595439,-0.256785,-1.17034,-1.82489,-3.08805,-2.50398,-0.594111,1.75666,5.7345,2.30319
0.534058957,-344.763,71.6383,26.1563,-9.68154,-6.06975,-3.3054,-6.29121,-9.51762,-6.05815,-6.16134,-3.16392,-1.42245,1.44701,1.51697,0.368252,0.0612667,-2.8253,-3.51855,-2.36634,-0.0834364,-2.3697
0.557278912,-347.983,69.5969,25.3363,-8.88476,-6.51874,-5.80313,-5.47442,-9.62101,-8.94749,-5.80148,-4.20177,-3.09796,1.21429,-0.514123,-1.34538,-2.00953,-2.3248,-3.34765,-1.10114,-1.39052,-1.21797
0.580498866,-358.769,66.6333,31.0192,-5.03876,-8.58906,-7.6813,-7.37676,-9.24865,-8.34152,-6.05504,-4.3061,-1.80066,0.43185,-0.239114,-2.65295,-3.91751,-2.82971,-3.0163,-3.80637,-2.85535,-2.56097
0.603718821,-353.884,68.8733,32.5993,-6.14777,-7.59181,-8.30445,-9.92509,-8.45249,-8.03865,-6.56417,-1.82013,0.200765,-0.0577678,-0.0821724,-2.42872,-3.75467,-3.5113,-2.53138,-0.975147,-2.42866,-2.58472
0.626938776,-362.584,66.9235,36.05,-4.60835,-8.10923,-8.39463,-6.37289,-9.8183,-8.82553,-5.56681,-2.8853,-1.7928,0.0831855,0.391327,-1.4486,-1.51384,-3.13491,-5.07436,-4.36299,-1.63666,-0.953596
0.650158730,-360.631,67.634,34.7005,-4.03901,-8.04569,-6.45918,-6.91158,-10.1655,-9.09443,-6.41894,-3.15452,-2.28892,-0.988531,-1.46327,0.0213528,-1.5726,-3.00153,-2.23933,-1.20661,-2.44361,-2.55911
0.673378685,-360.32,66.9737,34.6202,-3.37379,-8.54513,-8.18609,-7.05805,-7.98537,-8.9024,-5.44645,-2.32688,-2.50303,-0.690183,-1.94288,-1.51721,-1.15837,-2.73915,-3.31576,-3.18382,-2.48582,-1.11542
0.696598639,-358.893,68.979,33.901,-6.44866,-7.60178,-7.51022,-7.6154,-8.59387,-8.27862,-6.41437,-4.5945,-1.28402,-0.0771407,-0.419684,-1.80427,-1.27645,-3.52677,-3.61673,-2.05038,-1.5869,-2.83186
0.719818594,-358.768,69.4128,33.2841,-7.51399,-8.59403,-4.71882,-5.45841,-9.6286,-7.70391,-6.87121,-5.10698,-2.08418,0.168693,-1.33135,-0.487871,-1.22958,-2.47618,-5.18068,-1.89352,0.23579,-1.26908
0.743038549,-355.032,68.9379,29.53,-7.46746,-8.49778,-4.26335,-5.26337,-8.6208,-8.81011,-4.84016,-4.14603,-3.26381,-1.33068,0.363919,1.3165,-2.70343,-4.06628,-3.51823,-1.65746,-0.700383,-2.24089
0.766258503,-353.973,68.6194,30.9037,-7.91713,-8.24825,-4.33418,-5.80207,-9.73617,-7.53928,-6.433,-5.86189,-3.59736,-1.09232,0.808784,1.23388,-1.11133,-4.11515,-4.29206,-1.78276,0.837531,-2.80103
0.789478458,-362.25,67.8042,33.4293,-5.94633,-9.34857,-5.53728,-5.60065,-9.16458,-5.99479,-4.30461,-4.81311,-3.45546,-0.323021,-0.415328,-0.961283,-0.962346,-3.67243,-4.16975,-2.46014,-1.84189,-2.48827
0.812698413,-361.209,67.8378,35.1717,-2.92468,-10.0806,-8.76336,-10.4325,-10.5107,-6.0686,-3.01979,-3.45236,-3.00774,-2.07223,-0.792179,-1.838,-1.35446,-2.52754,-3.31422,-2.38894,-3.76625,-3.05621
0.835918367,-368.302,64.2113,38.5161,-1.02447,-10.4022,-9.95051,-6.2265,-7.23978,-5.65141,-5.65085,-5.37165,-3.2059,-0.410481,0.423068,-0.703912,-2.66048,-2.15709,-3.91654,-2.20434,-3.59728,-4.16487
0.859138322,-371.534,64.226,40.8046,-0.829028,-10.1365,-9.12159,-5.70145,-6.42181,-7.22092,-6.57179,-4.47215,-1.19531,-0.908003,-2.4574,-2.0142,0.544057,-1.69118,-2.46622,-2.46122,-2.21156,-3.26374
0.882358277,-373.107,62.571,40.2841,0.836933,-8.80577,-9.35829,-5.80809,-6.64382,-7.51501,-5.17628,-4.18636,-3.6772,-1.17888,-0.405788,-0.674288,-0.804973,-1.7952,-3.46594,-3.45057,-2.17703,-3.67153
0.905578231,-368.851,64.8544,39.5708,-0.16323,-9.80186,-11.3612,-7.55891,-7.9311,-6.19446,-2.99298,-0.854977,-2.6449,-2.28258,-2.19125,-1.75365,-2.15056,-1.61477,-2.90871,-2.05603,-0.50467,-1.02434
0.928798186,-370.748,63.3102,37.5777,-1.71025,-7.13042,-4.88721,-5.23259,-8.35005,-8.16226,-6.48477,-4.71999,-3.36497,-1.42406,0.154742,0.920522,-0.380943,-3.05678,-4.89238,-3.78666,-2.20903,-0.0966684
0.952018141,-366.401,65.1657,35.0639,-4.12725,-7.7944,-5.3455,-4.38055,-9.22204,-7.73839,-7.31379,-4.48466,-1.82643,-0.92877,-0.424418,-0.0695493,-0.98723,-3.17015,-4.80667,-2.24333,-1.72111,-1.53937
0.975238095,-365.287,64.0347,35.5128,-2.44482,-8.75552,-5.07312,-5.04669,-7.46382,-7.76315,-8.32875,-5.6628,-2.70202,-0.979366,0.509993,0.0693715,-0.0865183,-3.6162,-5.28846,-2.35287,0.238932,-0.481461
0.998458050,-367.72,63.8036,36.274,-1.40107,-8.90418,-7.3566,-4.61381,-7.58583,-8.17571,-5.43111,-3.27409,-3.22672,-0.959094,1.08451,-0.966233,-1.96007,-3.69143,-4.26058,-2.1561,-2.35231,0.138586
