TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.600609,1.31829,0.384918,0.398443,0.511988,0.705968,0.672132,1.26598,0.490194,1.12037,0.0229829,0.163424
0.046439909,0.661123,1.32019,0.410951,0.409704,0.42292,0.643686,0.675968,1.38423,0.433803,1.15517,0.0239197,0.418135
0.092879819,0.673224,1.30103,0.374488,0.441358,0.289259,0.539264,0.611651,1.81028,0.33461,1.11844,0.0272614,0.447597
0.139319728,0.475639,0.949274,0.714752,0.457415,0.0908858,0.419532,0.512462,2.27163,0.388353,0.725664,0.0344136,0.434187
0.185759637,0.495787,0.801187,0.501919,0.40937,0.162582,0.153382,0.268265,3.31022,0.128809,0.66338,0.0491261,0.10877
0.232199546,0.0863434,0.117628,1.24371,0.0444317,0.46977,0.213657,0.0973118,2.84788,0.0861037,1.89151,0.030094,0.0377533
0.278639456,0,0.0303189,1.42921,0.0362623,0.422275,0.248311,0.108785,2.24188,0.0869853,2.2413,0.0424398,0.13406
0.325079365,0.0627796,0,1.28709,0.0383437,0.348375,0.243194,0.328232,1.93097,0.0392849,2.41752,0.132606,0.118646
0.371519274,0,0,1.21931,0.0963021,0.338804,0.12026,0.474521,2.32649,0.0329051,2.32547,0.102927,0.451248
0.417959184,0.0144608,0.229414,1.24052,0.0288586,0.32138,0.099421,0.679344,2.59574,0.0793242,2.16328,0.0289214,0.708425
0.464399093,0.0762793,0.202009,1.0804,0.0612971,0.0487614,1.46022,0.818695,2.33987,0.12782,1.51975,0.000943962,0.935712
0.510839002,0.319346,0.302077,1.11205,0.0739708,0.0174136,2.57093,0.665903,1.68939,0.0975109,0.406755,0.0011247,0.850302
0.557278912,0.51572,0.212768,1.16069,0.0409096,0.0106304,3.2219,0.25619,1.2387,0.0245173,0.0942968,0,0.584787
0.603718821,0.39908,0.112855,1.4307,0.0342201,0.0142021,3.03002,0.108931,1.69658,0.101313,0,0.015157,0.711032
0.650158730,0.0242453,0.0940378,1.48101,0.116518,0.105658,2.08728,0.300804,2.76387,0.0522445,0,0.0737048,0.784729
0.696598639,0.000483644,0.121123,1.4996,0.203456,0.062581,1.09329,0.505258,3.27844,0.020897,0,0.197034,0.505677
0.743038549,0.0459691,0.245688,1.55242,0.321513,0.0665968,0.160984,0.576036,3.38949,0.013055,0.0104257,0.254382,0.274364
0.789478458,0.0499208,0.127372,1.67155,0.253529,0.112408,0.141532,0.534671,3.2787,0.0367328,0.0621226,0.320808,0.199245
0.835918367,0.0254667,0.187833,1.93462,0.131251,0.182415,0.197137,0.0553517,3.45295,0.506597,0.0460104,0.178474,0.233305
0.882358277,0.0872813,0.559974,1.19291,0.0671614,0.207599,0.234784,0.0721295,3.50222,0.658258,0.0130861,0.188406,0.283847
0.928798186,0.0777805,0.72907,0.666634,0.272857,0.075482,0.243723,0.0774731,3.43924,0.299324,0.273368,0.885856,0.102021
0.975238095,0.184913,0.748937,0.427767,0.353087,0.0842484,0.104653,0.0751229,3.26215,0.34197,0.178733,1.20353,0.0603189
1.021678005,0.294927,0.535336,0.228772,0.372591,0.0996333,0.120689,0.0847711,2.95554,0.439296,0.0252256,1.21674,0.0751232
1.068117914,0.407187,0.411994,0.560255,0.139864,0.0129972,0.120908,0.155351,2.9927,0.493744,0.00827317,1.15742,0.102074
1.114557823,0.315352,0.369392,0.792119,0.293287,0.0393392,0.0153149,0.276806,3.39588,0.307361,0.0851732,1.0177,0
1.160997732,0.147027,0.377769,1.07307,0.251301,0.0312244,0.133568,0.0875107,3.50979,0.392643,0.59493,0.236476,0.0932736
1.207437642,0.108009,0.285984,1.23808,0.283578,0.00561589,0.277198,0.075007,3.25285,0.420634,1.39458,0.0411133,0.291851
1.253877551,0.201432,0.17846,1.2293,0.237254,0,0.349384,0.0678855,2.72214,0.439133,1.88576,0.0115316,0.431625
1.300317460,0.210297,0.0130366,1.02596,0.136151,0.00951123,0.54056,0.043034,3.05889,0.519878,1.64155,0.187023,0.382663
1.346757370,0.3307,0,0.634726,0.0286159,0.389471,0.864786,0.00515189,3.34607,0.747153,1.20135,0.280863,0.614327
1.393197279,0.691366,0.037127,0.376295,0.0354532,0.425376,1.63842,0,3.26829,0.833072,0.417459,0.246798,0.75978
1.439637188,0.773815,0.202626,0.503631,0.072458,0.332698,2.11676,0.251687,2.84136,0.783579,0.0024962,0.182757,0.423632
1.486077098,0.870915,0.289348,0.837031,0.0519983,0.404941,2.19824,0.38447,2.1488,0.401251,0.124698,0.150419,0.112867
1.532517007,0.534907,0.114133,1.8939,0.0136714,0.110325,2.36922,0.232917,2.11396,0.518999,0.00140724,0.10176,0.307188
1.578956916,0.189467,0.0990742,2.02754,0.00900745,0.193342,2.13504,0.0783539,2.56379,0.61656,0.000439521,0.0500451,0.26552
1.625396825,0.164182,0.300305,1.86424,0.025942,0.193138,1.57188,0.060418,2.9463,0.69083,0.000426805,0.0806607,0.150784
1.671836735,0.0713631,0.444459,1.62456,0.112379,0.147599,0.568555,0.0623447,3.20605,0.457083,0.0559558,0.223149,0.3144
1.718276644,0.182112,0.447921,1.5141,0.341072,0.138864,0.247671,0.174059,3.32481,0.356746,0.0692942,0.447276,0.914843
1.764716553,0.174451,0.511372,1.46168,0.197189,0.111135,0.336547,0.0603002,3.45678,0.302305,0.0851851,0.437159,1.17825
1.811156463,0.107752,0.613872,1.47472,0.0407053,0.221404,0.277755,0.0110085,3.66175,0.209497,0.000903636,0.78747,1.00521
1.857596372,0.0723004,0.520081,1.2927,0.0221568,0.199181,0.145856,0.0659123,3.74878,0.0885178,0.145055,1.68043,0.869347
1.904036281,0.0324476,0.436991,1.29998,0.00539631,0.145132,0.228003,0.324062,3.40394,0.0563325,0.186072,2.2136,0.615353
1.950476190,0.0307531,0.133779,1.69009,0.0725357,0.0747081,0.556096,0.245726,2.86459,0.0657859,0,2.71685,0.33154
1.996916100,0.000578715,0.000429089,2.49012,0.148098,0.0397158,0.924988,0.277842,1.8251,0.197842,0,2.70044,0.270861
2.043356009,0.0721451,0,2.93635,0.188166,0.07791,0.805012,0.400621,1.48734,0.26871,0.0466596,2.33064,0.308875
2.089795918,0.0991839,0,3.0907,0.369157,0.104971,0.780286,0.492194,1.63166,0.15303,1.0172,1.08347,0.326058
2.136235828,0.128968,0,2.92785,0.218735,0.223914,0.646782,0.599761,1.58544,0.0497659,2.09805,0.0748695,0.287454
2.182675737,0.147577,0.00121706,2.88491,0.501314,0.166754,0.682369,0.556847,1.21622,0.0275818,2.39363,0.108598,0.315267
2.229115646,0.0915869,0.00194518,3.02649,0.708032,0.0734601,0.481195,0.374195,1.00444,0.0126451,2.28731,0.109531,0.338011
2.275555556,1.64011e-05,0.00180419,3.26182,0.870145,0.0640335,0.52123,0.277537,0.876782,0.0455465,1.88335,0.0924277,0.340486
2.321995465,0.000127551,0.00214244,3.21533,0.761138,0.176136,1.37371,0.0866809,0.910707,0.0934307,1.51628,0.106104,0.312636
2.368435374,0.000165241,0.00276341,3.19581,0.30837,0.0575616,2.41611,0.0556113,0.766977,0.0945478,1.10316,0.246999,0.49163
2.414875283,0.0827779,0.00325183,2.8257,0.109514,0.0689944,2.94219,0.0264606,0.790583,0.12359,0.734628,0.667041,0.21805
2.461315193,0.171904,0.149958,2.06945,0.0358339,0.0611721,2.78466,0.0448912,1.08963,0.281457,0.613601,0.973127,0.105146
2.507755102,0.000352924,0.0510348,2.37831,0.204938,0.0714769,2.13535,0.0712861,1.35582,0.214232,0.934678,0.676417,0.114063
2.554195011,0.000420014,0.0148054,2.6412,0.146547,0.208232,1.04104,0.298675,2.27816,0.229231,0.972079,0.157471,0.0642809
2.600634921,0.00050933,0.00322364,2.74596,0.032869,0.0676078,0.598884,0.539499,2.82409,0.160926,0.930566,0.160184,0.181127
2.647074830,0.00049383,0.00285382,2.84547,0.0339307,0.0159207,0.777975,0.585296,2.96862,0.0181407,0.718664,0.246337,0.127457
2.693514739,0.00049142,0.00220638,2.86886,0.158879,0.0366112,0.641478,0.308201,2.83545,0.0234969,0.348181,0.641542,0.0210385
2.739954649,0.17533,0.00187494,2.97556,0.265635,0.0452295,0.615836,0.0652556,2.74635,0.264465,0.314667,0.277792,0.0406521
2.786394558,0.170498,0.0375317,2.698,0.254735,0.187123,0.52149,0.0870594,2.29912,0.298166,0.289427,1.49981,0.0684697
2.832834467,0.0606815,0.0430071,2.51884,0.351656,0.268667,0.296656,0.0908448,1.24066,0.272181,0.0405741,2.44392,0.184735
2.879274376,0.0387334,0.0389167,2.24592,0.200296,0.172337,0.486151,0.0822299,1.02891,0.288692,0.11698,2.72152,0.185506
2.925714286,0.0724152,0.0220336,2.37953,0.144705,0.132601,0.95898,0.0896334,0.921981,0.459911,0.266665,2.64876,0.176547
2.972154195,0.173829,0.00139924,2.7365,0.0689459,0.0564846,0.830139,0.19856,0.83115,0.550958,0.515621,2.61398,0.224348
3.018594104,0.0854989,0.0734319,2.92281,0.137488,0.243731,0.79915,0.33861,1.04216,0.431145,1.43783,1.7471,0.221835
3.065034014,0.00122497,0.101369,3.03902,0.314079,0.178466,0.638353,0.0816261,1.28662,0.453281,2.09704,0.598227,0.216053
3.111473923,0.011516,0.104738,2.75531,0.403212,0,0.556019,0.0682337,1.34219,0.74872,2.05411,0.318094,0.198454
3.157913832,0,0.342104,2.62367,0.326357,0,0.613266,0.143292,1.34427,0.611796,2.18681,0.295402,0.189023
3.204353741,0,0.501967,2.66169,0.0211743,0.0605415,0.458112,0.513385,0.967726,0.595941,2.10573,0.226972,0.244043
3.250793651,0.0387174,0.53714,2.61906,0.0235102,0.453293,1.63743,0.539118,0.694605,0.662593,1.67414,0.0778243,0.280877
3.297233560,0.299035,0.179363,2.52138,0.0717671,0.548538,3.23306,0.0744552,0.399779,0.680032,1.39376,0,0.261973
3.343673469,0.437069,0.146244,2.06563,0.348373,0.177653,3.45464,0.064686,0.466715,0.371487,0.934314,0.297896,0.157256
3.390113379,0.371502,0.0618232,1.78888,0.530771,0.0246403,3.25711,0.0618769,0.577971,0.302202,0.911542,0.473563,0.140048
3.436553288,0.0217197,0.000662101,2.52448,0.51448,0.0220591,2.99307,0.242547,0.728395,0.312835,0.712891,0.332504,0.174324
3.482993197,0.000733748,0.0230129,2.91471,0.300122,0.0213506,2.2227,0.619686,1.6334,0.196886,0.443663,0.17994,0.296216
3.529433107,0.000556519,0.0162304,2.61112,0.116284,0.0219231,0.470643,0.687462,3.29383,0.0361287,0.206322,0.202052,0.351946
3.575873016,0.252891,0.0229065,2.62237,0.120328,0.0797398,0.0307363,0.447275,3.45826,0.0240497,0.018263,0.182917,0.307924
3.622312925,0.330637,0.00436244,2.90229,0.124121,0.158776,0.22795,0.122412,3.21463,0.460962,0.118187,0.134271,0.269469
