TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-645.01,25.6461,2.37152,-0.411176,5.31724,-4.62675,-13.5095,-3.96403,9.97566,5.70761,-5.99006,-5.20016,3.05078,2.09797,-3.45876,-1.26867,3.80743,1.70629,-2.66292,-0.953128,2.88334
0.023219955,-183.987,15.6511,5.20686,2.73508,-1.24221,0.213413,0.381058,-5.47452,-6.24678,-1.46643,-1.55106,0.375176,-4.98728,-2.76894,-2.49003,-2.88297,-1.51322,1.20864,0.647166,1.95763,-2.33501
0.046439909,-264.528,49.2126,11.6247,9.83853,6.73361,7.09654,2.17389,2.32259,3.13834,2.95554,1.90711,1.94658,0.108687,1.3525,-1.55899,-1.46073,-0.166009,-0.512789,-2.12474,0.369557,-0.141473
0.069659864,-301.352,38.3648,24.246,22.7979,8.05665,6.33805,4.1074,4.34272,3.60926,2.21551,1.33207,0.338393,1.15879,2.57179,1.54612,1.52663,-0.864229,1.08524,-0.431563,-1.33006,-0.739563
0.092879819,-315.682,33.3052,27.4294,31.8103,11.4943,6.39669,0.174129,0.780334,2.44592,3.66825,0.481109,2.46493,0.716329,1.89254,3.84446,1.23042,-0.985082,0.965609,-1.08802,0.200836,-1.58036
0.116099773,-310.609,31.3543,23.115,31.324,11.9502,9.14894,2.01598,0.59303,2.15445,2.99131,1.00459,3.16238,-0.159089,0.809501,5.04551,1.96458,-1.35433,-0.681626,-0.777182,0.0687467,-1.31627
0.139319728,-292.864,20.5991,21.2998,25.7511,14.0454,9.37549,0.189161,0.248759,-1.44399,0.575153,0.678429,4.84764,1.33729,2.14119,1.82222,0.449491,-1.88769,1.69179,-2.36504,-0.913804,0.033236
0.162539683,-286.802,14.7144,20.8991,23.3983,13.6639,10.1458,-3.29674,-2.85276,-2.06672,1.50326,-0.136192,3.78462,-0.526367,1.25278,0.0493039,-1.02587,-0.373642,-0.766684,-3.35348,-2.29639,-1.05798
0.185759637,-290.131,13.9632,18.3357,21.3545,11.7033,4.80321,-2.45803,-4.50362,-4.51944,0.507987,-2.56742,2.50285,-0.160679,0.278992,-1.98376,-2.11001,-3.49116,-3.31344,-3.6645,-1.06236,-1.85389
0.208979592,-299.713,18.2538,16.993,23.3341,10.1782,4.40916,-3.53911,-5.01238,-3.72684,-0.603803,-2.17631,1.92774,-1.43438,0.302696,0.39853,-2.20229,-5.14487,-4.79915,-4.61162,-1.28235,-0.462128
0.232199546,-310.056,27.1764,10.186,28.9322,6.23619,7.60742,-3.29036,-7.29747,-1.47299,-1.44949,-0.750361,1.08479,-1.94847,0.485099,0.641046,-1.58079,-4.29677,-1.99758,-5.05504,-4.46786,-1.35577
0.255419501,-307.191,26.9453,5.92569,29.4164,5.5534,6.51151,-5.83582,-8.97487,-0.177909,-0.0488666,-3.61358,-0.0158836,-1.52928,-1.04632,0.356188,-3.08179,-4.50521,-4.92383,-5.899,-2.39114,-2.38033
0.278639456,-307.681,24.5426,0.453086,22.9569,0.336522,3.67345,-5.42705,-4.9466,-0.877447,-2.27173,-1.38276,-0.401261,-2.52992,2.73727,3.27862,0.41747,-0.931712,0.753287,0.791269,1.92994,-0.875415
0.301859410,-304.38,24.9751,-4.81445,21.2114,0.938901,3.3082,-5.83685,-8.15471,-1.64845,-2.5064,-2.56851,-1.06881,-1.7554,1.54563,3.05387,0.752782,0.843905,0.580225,0.984264,2.18322,0.522339
0.325079365,-306.817,26.0769,-2.4389,22.9521,-0.173641,3.39407,-5.92938,-8.52985,-1.08646,-1.45321,-0.638576,-0.442788,-4.75919,-0.439148,0.815247,0.697472,0.270801,0.947762,0.919172,1.24146,1.3803
0.348299320,-301.906,26.1331,-1.56369,21.4473,1.46362,2.84215,-7.57414,-7.28544,0.232966,-0.989363,-1.59021,-2.02917,-2.4812,-0.481508,0.803553,0.578125,-0.0267149,0.613436,1.64375,2.52945,-0.0925249
0.371519274,-302.042,27.6201,-5.73141,22.3348,2.53907,3.4639,-6.23078,-8.89245,-3.69256,-3.59684,-1.78476,-1.84066,-1.77332,-0.505507,-0.806535,-0.815142,0.358369,1.45294,-0.679831,-0.386566,1.14604
0.394739229,-294.923,33.8527,-2.14474,25.5904,6.13045,5.45375,-3.90272,-5.12294,0.322197,-0.881956,0.725656,-1.05948,-3.30337,-1.02806,1.84156,-2.62706,-4.02376,-2.47851,-2.62986,-2.62831,-1.14428
0.417959184,-295.8,33.7859,-0.747906,26.5449,4.56353,5.14235,-3.84601,-5.55308,0.377987,0.0982634,0.340697,-0.979634,-1.26633,0.560351,1.06661,-2.40482,-2.28656,-2.22071,-3.71885,-4.05828,-2.49779
0.441179138,-294.285,30.9415,-3.14084,25.9952,5.03642,6.39653,-4.97899,-5.95149,3.08464,0.239974,-0.936033,0.773339,-2.50703,-2.07134,0.266693,-0.955233,-3.22533,-4.06001,-3.52914,-2.59713,-3.361
0.464399093,-291.214,32.0794,-4.38299,25.7305,5.60363,5.64838,-2.23743,-4.85432,0.366022,-0.235679,-1.22831,-1.78962,-2.27817,-0.905259,0.41781,0.0286541,-1.24978,-3.55598,-3.32623,-2.84065,-3.81587
0.487619048,-291.656,32.0415,-4.21367,27.0899,5.73532,4.9889,-7.31233,-7.70149,-0.674219,-1.0887,0.710471,-2.65902,-2.52434,0.570794,0.781197,-3.15992,-1.70969,-1.43674,-4.07021,-2.15294,-1.95007
0.510839002,-296.695,28.799,-9.52714,23.5465,3.44462,3.66041,-4.28276,-3.3896,3.23076,1.10686,-0.576781,-1.86649,-3.69205,-0.34403,0.668053,-3.75587,-2.30839,-0.490789,0.487973,2.67077,2.2367
0.534058957,-301.086,22.9121,-14.931,18.2824,0.919168,0.908612,-9.36007,-7.09612,-0.653754,-0.878055,-0.95792,-1.27168,-5.61666,-2.64443,1.15382,-1.09708,-0.853381,0.0338835,0.210434,-0.234886,-1.42293
0.557278912,-297.938,25.9408,-15.7847,18.0474,3.85827,4.1981,-5.35782,-7.25366,-0.061639,0.910009,-0.935906,-1.20976,-3.62762,1.30552,1.53438,-0.835239,-1.06612,-0.770338,-0.0561363,2.03894,3.29623
