TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0.618461,0.0914581,0.868374,0.00574082,0.0971045,0.255986,0.734878,0.149969,0.140168,1.53637,1.65666,0.987767
0.185759637,0.202687,0.155893,0.689098,0.297579,0.830443,0.26313,0.493253,0.469263,0.170173,0.973031,1.86173,0.655069
0.232199546,0.11238,0.504586,0.597122,0.102381,1.14734,0.160978,0.44099,0.622278,0.141771,0.643442,2.06158,0.588475
0.278639456,0.0862158,0.677638,0.369877,0.0645449,1.34519,0.0946875,0.433645,0.748987,0.175855,0.454931,2.18306,0.417566
0.325079365,0.0659998,0.838431,0.149297,0.0927319,1.47157,0.0893082,0.463814,0.90386,0.17749,0.424562,2.19917,0.234775
0.371519274,0.0473704,0.969024,0.00925998,0.182327,1.56959,0.108823,0.73896,1.1903,0.0803025,0.468039,2.04673,0.0491502
0.417959184,0.0528842,1.36624,0,0.201349,1.72317,0.0633757,1.03578,1.09501,0.0500866,0.509633,1.61249,0
0.464399093,0.0342522,1.76918,0.0208199,0.00711622,1.81964,0.594161,1.12456,0.648259,1.14957,0.286504,0.312006,0.245973
0.510839002,0.262784,1.31333,0.0433465,0,1.81745,1.16216,0.843819,0.512644,1.1242,0.14309,0.633748,0.506248
0.557278912,0.851329,0.164913,0.00779156,0.00155571,1.78936,1.53236,0.583319,0.40696,0.367602,0.240651,0.481657,0.672088
0.603718821,0.56164,0.000911217,0.0326356,0.00356414,2.28381,1.16665,0.393137,0.710617,0.46306,0.276553,0.345397,1.40827
0.650158730,2.03827,0.325982,0.342186,0.00160512,1.74989,0.825419,0.0857255,0.626698,0.40638,0.14551,1.04033,0.179138
0.696598639,2.16197,0.269288,0.165178,0,1.5113,0.510192,0.0899884,0.763984,0.430699,0.0349843,1.89113,0.13248
0.743038549,2.37591,0.165739,0.0697003,0.106291,0.971614,1.00546,0.157491,0.955482,0.37162,0.0216667,2.26749,0.142666
0.789478458,2.54331,0.1464,0.0468333,0.525463,0.670594,1.06299,0.250633,1.033,0.310623,0.031304,2.61284,0.129032
0.835918367,2.68244,0.110234,0.0482286,1.04791,0.42515,0.980025,0.301682,1.11465,0.166977,0.0411686,2.90195,0.0977887
0.882358277,2.79365,0.0457892,0.0449519,2.1145,0.331068,0.953182,0.369475,1.32188,0.00862877,0.0348136,2.68881,0.0422872
0.928798186,2.95578,0.0171857,0.0814185,2.47001,0.536675,0.782752,0.289874,1.67495,0.00895185,0.0344778,2.47292,0
0.975238095,3.18881,0.0964711,0.0783056,2.25694,0.717423,0.480637,0.00989693,1.78778,0.00504728,0.00699101,2.28162,0
1.021678005,3.33165,0.10659,0.0724129,1.97131,1.03822,0.0962227,0.040764,1.90891,0.000335512,0.517288,1.87155,0
1.068117914,3.6274,0.103572,0.256058,1.96439,0.974724,0.0662651,0.0389156,1.80058,0,1.36788,0.879322,0.0128495
1.114557823,3.72734,0.033129,0.531182,2.05685,0.875767,0.027466,0.0132213,1.81877,0.00135277,1.81541,0.281575,3.59337e-05
1.160997732,3.53894,0.168639,0.402758,1.97229,0.735841,0,0.0363999,1.76188,0.20394,1.38581,0.0434598,0.00732238
1.207437642,2.89805,0.314018,0.0932479,1.42151,0.507229,0.501459,0.261825,1.47814,0.505055,0.504744,0.0795609,0.00323323
1.253877551,2.36764,0.428121,0.750488,0.932535,0.560354,0.543297,0.277008,0.826228,0.520457,0.0634034,0.665848,0.0133585
1.300317460,2.10824,0.775347,1.05426,0.523293,0.633194,0.325733,0.274092,1.17211,0.31778,0.0647904,0.964604,0.0485684
1.346757370,2.36883,0.850272,0.991434,1.07134,0.675391,0.283367,0.257985,1.78721,0.174658,0.0544406,0.478683,0.0821385
1.393197279,3.29176,0.73199,0.488421,1.71904,0.689088,0.108131,0.0908071,2.64912,0.00979108,0.0252946,0.383036,0.118068
1.439637188,3.5575,0.414693,0.0579613,2.06246,0.663261,0.102872,0,2.83434,0.0121423,0.0106924,0.298744,0.158225
1.486077098,3.62821,0,0.0603153,2.17404,0.957692,0.257477,0.0755196,2.34065,0.0134226,0,0.0487673,0.0401202
1.532517007,3.6109,0.0967425,0.0720232,2.10835,0.813096,0.582006,0.117981,1.70611,0.00103015,0.133961,0.00329723,0.0321707
1.578956916,3.96444,0.00193132,0.0613632,1.93728,0.697421,0.782361,0.134062,1.45236,0.00101814,0.166535,0.00321697,0.0228826
1.625396825,4.20736,0.00248141,0.0126992,1.72673,0.657408,0.778492,0.041314,1.68233,0.00473789,0,0.00134169,0.0115828
1.671836735,3.74577,0,0,1.9925,0.560516,0.904553,0.3422,1.92696,0.249325,0,0.0768591,0.022402
1.718276644,3.16069,0,0.31586,1.71181,0.203073,1.18747,0.233901,1.71409,0.618473,0,0.583232,0.152678
