TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.023219955,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.046439909,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.069659864,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.092879819,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.116099773,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.139319728,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.162539683,-645.711,-7.18639,-23.4972,6.17858,-15.5587,6.51708,-18.2158,5.3715,-11.3618,-0.263019,-5.20269,-3.10149,-2.5951,0.387277,-9.36161,5.21215,-3.0205,2.51359,-0.146218,1.63668,-3.89163
0.185759637,-551.029,-19.122,-8.37401,-1.02149,-6.99739,2.01441,-8.15863,4.64876,-5.80183,-0.84306,-2.37553,-1.74795,-2.1707,2.71539,-3.5816,5.03699,-1.27343,2.14336,-0.489929,2.125,-2.87579
0.208979592,-521.506,-25.9362,-3.86394,1.33757,-5.25322,-0.212761,-3.49499,3.89508,-3.34116,1.32651,-3.86244,3.83114,-3.28918,3.55093,-2.55947,5.45677,-1.73515,1.27291,-4.54737,1.35035,-1.09766
0.232199546,-519.199,-22.6399,-5.08849,3.56086,-2.25451,4.42466,-5.05565,4.22475,-3.91847,5.165,-4.15697,3.81711,-4.84907,4.90084,-3.28579,4.15565,-2.98665,3.0674,-2.25615,3.25952,-2.96369
0.255419501,-519.041,-22.7287,-1.0274,4.38525,-2.15526,3.77649,-1.32403,5.65571,-2.46661,3.27134,-1.81469,4.69924,-3.38836,2.0476,-2.14719,3.86813,-4.09807,2.17187,-4.09018,1.03057,-0.678846
