TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,1.43837,1.9782,0.567831,0.00290238,0.133047,0.291682,0.0367476,0.0645868,0.888394,0.152856,0.00281802,0.506059
0.046439909,1.18863,1.95939,0.044657,1.06703,0.272944,0.680543,0.162791,0.803229,0.641842,0.149149,0.000566076,0.256573
0.092879819,1.62854,1.4769,0.0738948,1.89799,0.73903,0.310999,0.15742,2.1883,0.0873754,0.0722035,0.301917,0.00117458
0.139319728,1.1674,0.470568,0.117327,2.27993,0.793535,0.289629,0.025924,1.71486,1.58146,0,0.311309,0.0278867
0.185759637,0.771155,0.00249893,0.093004,1.80271,0.571562,0.175511,0.0406945,1.21498,2.48639,0,0.310581,0.137469
0.232199546,0.731701,0.00264612,0.00840506,1.46539,0.189526,0.179796,0.328541,0.625727,2.83114,0,0.31135,0.165709
0.278639456,0.853591,0.00227669,0.160011,1.28322,0.257523,0.0791213,0.325325,0.24767,3.25821,0,0.311232,0.151647
0.325079365,0.84872,0.00224067,0.115507,1.08969,0.289579,0.328408,0.129579,0.0643399,3.21743,0,0.34071,0.142971
0.371519274,0.617533,0.00410677,0.289634,0.929673,0.265769,0.425726,0.0370406,0.182326,2.72056,0,0.417813,0.183515
0.417959184,0.522175,0.0592219,0.332428,0.975235,0.132839,0.304475,0.268141,0.225261,2.45113,0,0.423981,0.0523648
0.464399093,0.862238,0.0453351,0.153226,1.09956,0.110912,0.0396941,0.69399,0.114484,2.78274,0.0992711,0.191254,0.108896
0.510839002,0.81014,0.13671,0.156659,0.847439,0.029479,0.132325,0.771712,0,2.66858,0.352275,0,0.217677
0.557278912,0.77802,0.36315,0.557216,0.624547,0.133007,0.157706,0.666128,0,1.58687,0.574075,0,0.439035
0.603718821,0.7275,0.432909,0.367448,0.539149,0.725773,0.525662,0.52924,0.36955,0.961921,0.793966,0,0.311343
0.650158730,0.622981,0.368111,0.0705766,0.236068,0.489716,1.58961,0.879284,0.176501,1.141,0.62002,0,0.149551
0.696598639,0.165127,0.338092,0.103921,0.245845,0.201232,1.27309,2.27156,0.0855732,0.76118,0.0628512,0.147786,0.0787027
0.743038549,0.188839,0.526926,0.0804211,0.0396851,0.0945754,0.464766,3.03952,0.0406844,0.306316,0.0241168,0.258887,0.0024824
0.789478458,0.203326,0.737429,0,0,0.421284,0.146658,3.21699,0.0400791,0.140601,0.10317,0.34403,0.0169193
0.835918367,0.248016,0.664714,0.00051459,0.162573,0.265123,0,3.40142,0.0502358,0.00599165,0.00049005,0.326979,0.120939
0.882358277,0.511635,0.562014,0.00338537,0.106942,0.188807,0.0036221,3.6139,0.375325,0,0.0448121,0.403421,0.194277
0.928798186,0.445541,0.4633,0.00448925,0.114263,0.298863,0.263744,3.30606,0.0880433,0,0.291513,0.263603,0.163218
0.975238095,0.190988,0.458473,0.0037907,0.0255737,0.237593,0.818639,2.24286,0.0310227,0.072132,0.26357,0.173311,0.120801
1.021678005,0.330153,0.367591,0.00432819,0.03212,0.231438,2.09972,0.767771,0.121588,0.161286,0.157148,0.251523,0.154916
1.068117914,0.534089,0.24819,0.000234093,0.0166261,0.008358,3.16788,0.142244,0.393867,0.0643407,0.19122,0.330733,0.128873
1.114557823,0.63467,0.274212,0.0124577,0.00343978,0.185007,3.03302,0.0635064,0.3368,0.129144,0.111766,0.266244,0.129944
1.160997732,0.191999,0.301651,0.0456235,0.134891,1.43024,1.9954,0.0185048,0.109201,0.229931,0.0678785,0.0138687,0.763157
1.207437642,0.0746475,0.270804,0.0699131,0.0876841,3.09281,0.27564,0.0729336,0.0710901,0.296972,0.00556492,0,0.778819
1.253877551,0.112999,0.304253,0.00907091,0.0155411,3.55011,0.00693681,0.102398,0.41639,0.153769,0,0,0.636692
1.300317460,0.123063,0.280988,0.0185481,0.829121,2.80105,0.0500036,0.171831,0.552994,0.0923203,0.062598,0,0.579096
1.346757370,0.241887,0.241097,0.121641,1.50729,1.76433,0.19083,0.133699,0.579476,0.119874,0,0,0.556735
1.393197279,0.420619,0.218916,0.204411,1.55754,0.708072,0.0990911,0.149282,1.03214,0.247683,0.00481905,0,0.354481
