TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-593.239,-14.4925,5.26139,8.56417,1.79802,8.10385,-0.365784,3.67898,-1.89687,1.5695,-2.32085,5.86194,-0.399971,3.08106,-4.03471,1.63888,-1.44804,0.648065,-0.816053,-0.205852,0.829197
0.023219955,-493.561,-1.96522,14.0767,9.10266,5.69709,4.49639,-2.70166,-3.38504,-3.50304,-0.823016,-2.77329,-0.926901,-2.28032,0.337324,0.31098,3.02813,0.377236,1.9197,-0.868364,0.103319,-1.50246
0.046439909,-416.77,20.8955,21.2646,7.54151,5.17298,0.328512,-2.88523,-2.04102,4.14441,2.77918,-3.93395,-4.97373,-4.12818,0.717716,3.28435,5.05238,-0.714534,-0.275568,2.00278,-2.08453,-4.69552
0.069659864,-373.389,28.8054,17.2511,0.321463,-3.84608,-1.33782,-8.98139,-1.61475,3.37714,-1.22154,-3.59047,-2.72626,-4.18323,-1.83691,3.44581,6.39097,-0.558495,-2.03724,1.30416,-2.01188,-5.64839
0.092879819,-357.663,26.2768,14.4253,2.60183,-1.01008,-1.26461,-11.8418,-1.45722,6.68699,0.303719,-3.05177,-0.656845,-6.33329,-1.42205,4.09268,5.51168,0.0409129,-1.36409,3.01913,1.20976,-6.39681
0.116099773,-343.384,29.3658,7.81638,1.3207,-0.909941,-0.883102,-13.4803,-4.40929,10.1772,0.192608,-1.76453,1.41574,-6.5789,-3.45548,0.555382,4.82491,-2.08598,-3.34807,3.16642,2.79026,-7.81324
0.139319728,-321.947,33.8667,-3.37711,-3.41817,-0.668707,-3.9935,-12.3813,-0.179257,5.24306,-2.31428,-1.12482,1.07384,-5.98921,-3.70276,2.78564,6.36018,-4.277,-3.426,-1.32011,1.76182,-4.94025
0.162539683,-299.507,38.7383,-10.0045,-6.14336,-1.29595,-0.686805,-8.8366,0.0453679,6.86639,-3.34122,-4.7923,1.47531,-2.74173,-3.89091,4.7312,7.63859,-6.50687,-7.09061,-0.16999,1.44884,-5.42131
0.185759637,-282.626,35.2543,-16.6806,-11.5306,-3.62868,4.9715,-10.3284,-3.67378,5.15645,-6.01815,-11.6776,5.92468,-0.247062,-7.4863,0.27451,5.49031,-11.6438,-6.64977,2.02763,0.323095,-3.42371
0.208979592,-275.02,33.9223,-25.2032,-7.26745,-2.22292,2.39196,-12.3397,-2.68209,1.63588,-5.33895,-5.11676,6.64684,-0.735461,-5.94247,-0.483762,0.754252,-7.23676,-4.37821,3.36064,1.08469,-3.9194
0.232199546,-270.92,28.2495,-27.4196,-9.30953,-0.968488,4.13448,-11.3296,-5.37399,1.97481,-8.99523,-6.91325,8.0739,-1.60487,-7.31926,-0.311671,6.18216,-6.93759,-1.6621,3.47391,-1.19708,-5.67033
0.255419501,-266.262,30.1488,-24.5736,-8.83244,-3.60383,9.12358,-13.2595,-6.30458,3.46366,-9.13581,-7.82503,9.3299,-1.86902,-8.16618,0.592453,5.25553,-8.99681,0.18642,2.12933,-2.78853,-5.61295
0.278639456,-269.241,27.1496,-19.6184,-11.2021,-3.72234,8.41229,-13.6043,-7.39563,0.969237,-7.9682,-8.21134,10.5819,-1.36308,-8.26986,0.584132,5.22919,-9.07013,-1.98479,2.91659,-3.82747,-7.27605
0.301859410,-271.059,31.2481,-20.4441,-10.1709,-3.25782,9.89711,-11.172,-8.28845,2.69123,-4.78291,-9.64979,8.58218,1.58067,-10.1821,-3.07059,7.37572,-7.7676,-3.99547,2.62255,-2.0452,-8.98072
0.325079365,-273.12,31.4202,-17.601,-11.3153,-1.16458,5.47244,-9.73746,-7.24633,-1.99275,-2.90685,-7.90048,8.04982,-0.729788,-10.0728,-1.92258,7.25162,-5.74257,-6.31564,5.10136,-0.979459,-7.99962
0.348299320,-278.282,34.9945,-18.3341,-15.3315,-2.95853,5.33404,-7.34168,-8.73152,-3.44869,-1.85781,-10.0428,6.89516,0.966995,-9.20619,-1.68838,6.91864,-8.52961,-5.96235,5.99224,-0.940707,-9.72122
0.371519274,-278.771,33.3559,-13.818,-12.2407,-7.75054,0.71034,-5.85475,-7.72107,-3.55304,1.01471,-9.81958,0.298684,0.129918,-4.79713,-2.54025,5.1775,-7.49896,-9.36791,5.50969,1.40709,-7.26966
0.394739229,-286.175,32.6285,-10.9422,-8.66825,-9.21838,-4.21639,-7.64783,-3.27498,-0.515629,-1.53714,-8.94501,-0.528839,-1.849,-4.56049,-1.40789,6.63076,-7.55052,-7.93697,1.89588,1.3336,-7.71153
0.417959184,-296.234,29.7314,-4.9555,-6.04984,-11.8394,-2.56343,-7.32579,-1.80094,4.3832,-2.81045,-9.4806,0.105794,-3.07197,-5.77565,-0.691114,3.93191,-10.2791,-7.05113,4.13117,1.95143,-9.66833
0.441179138,-288.194,28.1591,-6.817,-5.49652,-14.3368,-4.48879,-9.47287,-4.53198,3.63756,2.43806,-9.09808,0.196162,-1.74178,-5.75405,-0.203588,3.86446,-9.68814,-4.22098,2.31461,-0.85969,-8.66798
0.464399093,-275.593,24.8465,-10.3453,-3.70322,-15.231,-4.08348,-9.33471,-1.54352,1.31335,2.03055,-7.32118,2.02884,-0.965673,-6.05326,-1.49677,5.25946,-9.95121,-3.27363,3.80255,0.173315,-7.61528
0.487619048,-268.017,20.676,-15.7762,-6.66754,-14.2082,-0.330306,-9.06311,-3.3507,0.0152842,2.26392,-13.7113,0.294069,1.25268,-6.81169,-1.41776,7.04961,-9.74981,-5.29658,4.2044,0.908543,-6.93971
0.510839002,-264.698,21.6969,-16.7512,-8.16387,-15.4547,0.249752,-5.94566,-3.04994,-0.371853,1.08684,-16.5054,-0.0298824,0.261961,-8.0808,-2.97715,4.78687,-9.77773,-5.88667,2.75543,0.426132,-8.81546
0.534058957,-258.532,22.1748,-18.6472,-4.81663,-15.9126,1.18467,-4.28371,-2.01377,1.62501,1.22111,-14.161,-1.43383,4.07189,-5.73263,-3.64647,3.34888,-8.32562,-2.77166,2.28799,-0.25179,-9.70698
0.557278912,-254.543,24.1026,-23.2368,-4.37607,-14.4252,2.32044,-4.59354,-1.88006,0.218135,1.59541,-10.1539,0.76945,3.85426,-5.05307,-3.81934,1.35134,-11.2649,-0.828309,3.31084,1.22927,-6.40855
0.580498866,-254.535,27.5894,-22.2105,-4.37684,-13.6945,2.44863,-5.08765,-4.47111,-3.35557,4.83687,-9.94241,0.347659,7.30812,-3.91491,-6.92194,0.621559,-9.26474,-0.743685,1.8427,2.81461,-7.83784
0.603718821,-271.123,30.7381,-22.4282,-2.60271,-4.56265,-0.990709,-6.62467,-7.38183,-4.05856,-2.82256,-7.04561,4.23746,6.36212,-3.63906,-7.53368,1.77295,-1.52823,-0.764333,1.18708,-1.05181,-6.51069
0.626938776,-296.38,24.8144,-14.5131,2.6781,2.22141,-0.774899,-4.09034,-3.39126,-1.66448,-5.0159,-6.28829,0.543409,-0.545654,-2.99345,-8.56589,-1.27389,-0.206875,1.03194,-0.242583,-3.22119,-5.37761
0.650158730,-307.477,15.4457,-11.6298,6.94304,1.93997,-0.317437,-0.496074,-1.87588,-4.02737,-7.54907,-12.8282,-3.47944,-1.86911,-4.36397,-8.10833,-0.569969,0.914492,-2.23219,-7.37763,-4.3085,-6.17169
0.673378685,-279.153,21.8796,-22.5138,6.48534,2.06913,-0.175929,-2.98271,-9.69372,-8.97226,-5.27245,-8.73818,-0.0871243,1.72164,-0.805534,-6.71765,0.661386,2.23081,-0.210408,-5.12684,-1.44823,-5.17833
0.696598639,-264.307,23.8264,-29.4714,1.12202,-3.46464,1.65739,-2.64744,-10.4711,-9.28198,-3.45047,-3.19103,1.89842,2.2048,1.43349,-6.72652,-0.0103478,0.463513,-2.8585,-5.44095,-0.994262,-3.57264
0.719818594,-249.596,20.9623,-30.0873,-3.19559,-13.386,-0.493307,-4.76041,-8.52106,-8.96467,-4.86912,-5.65193,2.88905,0.241964,6.10332,-4.10052,-2.68926,-2.82942,-5.76053,-1.61575,1.34942,-3.0287
0.743038549,-233.346,18.1692,-27.7457,-5.22777,-15.1437,1.03475,-5.97791,-4.5933,-7.17069,1.83478,-4.13877,1.95398,1.00983,8.10157,-1.66875,-5.48167,-8.29641,-4.56333,-1.70482,4.03394,-1.9076
0.766258503,-229.263,12.62,-29.1529,-8.91768,-17.0785,-5.55389,-9.55033,-5.57017,-8.08647,-1.56467,-4.31249,4.23881,1.45304,8.27774,1.87791,-3.12557,-7.55068,-3.46976,1.79957,7.50287,3.79616
0.789478458,-226.688,12.8899,-27.7472,-5.77023,-16.0363,-5.25864,-8.0555,0.48994,-4.0171,2.71223,-3.93331,2.69768,1.28964,4.93289,-2.27363,-2.38716,-5.34287,-1.47184,1.70345,6.47994,4.33238
0.812698413,-227.383,9.7231,-26.391,-8.82498,-18.9676,-7.6008,-8.1776,-3.40801,-4.73095,3.18604,-8.01107,1.47367,-0.272824,3.68928,-1.3495,-3.45185,-4.49528,0.60481,0.997842,5.09423,4.12047
0.835918367,-231.94,11.4169,-25.3971,-7.36621,-20.4005,-8.04639,-7.66283,-2.90971,-4.03133,3.54187,-8.48619,1.12416,0.739977,3.67084,-3.86967,-4.22231,-3.21178,-0.113858,0.360811,4.43097,1.83924
0.859138322,-234.481,15.1261,-27.5037,-7.56735,-19.7778,-9.13563,-8.82836,-2.72946,-3.53409,1.78346,-8.91647,1.56803,-0.249771,2.81795,-3.57905,-3.68678,-5.114,0.263223,-0.951724,3.83627,1.87395
0.882358277,-233.065,15.1852,-27.675,-8.56074,-18.7585,-6.55651,-9.86194,-1.20127,-4.09571,4.48656,-9.19417,-0.0390953,1.9005,3.64192,-1.76147,-0.874891,-5.44745,1.40955,-0.911666,2.96293,4.72347
0.905578231,-232.943,11.78,-27.1262,-8.51379,-21.2845,-5.65111,-10.4085,-2.81742,-3.74273,3.36825,-9.66204,-0.0828377,1.10727,3.48944,-1.54001,-1.91937,-6.47587,0.892712,-0.320703,2.58715,1.57979
0.928798186,-232.706,17.0577,-28.9043,-9.27025,-17.3163,-5.58144,-12.9954,-1.37815,-3.74591,3.33016,-9.7641,-0.0291394,0.427405,1.19483,-2.8259,-1.46383,-8.35321,-1.52253,0.219516,0.253342,-0.64342
0.952018141,-234.712,13.9771,-28.548,-7.77094,-20.5014,-7.76886,-12.7865,-0.0862409,-0.964121,1.84151,-9.03114,1.36183,-0.0873371,3.21996,-0.515712,-1.0113,-7.41353,-0.338645,1.88313,2.00287,-0.132158
0.975238095,-241.875,17.9014,-25.3046,-6.40734,-19.2729,-9.49951,-10.5212,1.02865,-2.44849,3.95027,-7.4644,2.08667,1.27596,0.787713,0.579084,1.73218,-7.42177,-1.39875,1.08658,2.28335,-1.34831
0.998458050,-247.414,15.0016,-27.2543,-6.99947,-23.1316,-10.8737,-11.0006,-1.31181,-2.073,3.36375,-7.18308,0.881605,1.24056,0.434162,-0.100093,-0.0189518,-5.82446,-2.2422,1.14698,2.09781,-1.14205
1.021678005,-250.033,17.2493,-22.5683,-9.46979,-17.5367,-6.65205,-10.7073,0.103287,0.974679,6.16015,-8.86265,1.21745,4.17335,1.51031,-1.11225,1.79593,-6.62707,-6.29574,2.69215,1.83245,-4.28298
1.044897959,-253.67,15.337,-25.1437,-9.60275,-18.7766,-7.11589,-15.7422,-2.16159,0.284631,2.71917,-13.6814,0.0445335,3.29043,0.434465,-1.36861,3.89309,-6.87953,-6.55127,2.38868,2.00853,-4.55672
1.068117914,-251.658,13.2947,-22.0371,-8.37928,-17.0955,-7.12176,-12.5768,-1.94421,-1.78481,3.25058,-10.313,0.851059,3.51522,1.36952,-0.523767,1.60965,-4.61447,-5.46021,0.198111,1.67368,-2.36301
1.091337868,-256.284,12.9851,-21.088,-9.07465,-15.7526,-4.99244,-14.5481,-4.41242,-4.17954,1.70238,-9.57034,-0.222715,2.5125,3.72793,-1.78774,-0.715531,-5.9694,-5.39555,-0.569049,1.62838,-1.60501
1.114557823,-257.408,13.2165,-20.595,-8.8855,-13.4502,-4.33595,-10.2981,-1.67027,-0.818676,1.53566,-10.6487,-0.725193,1.95853,2.79387,-1.00923,0.636164,-5.32482,-5.25327,0.576314,2.21262,-3.48663
1.137777778,-261.92,15.8403,-20.1019,-11.5027,-13.3257,-5.1487,-10.1157,-0.722108,-1.797,1.69906,-11.2712,0.150061,1.35336,0.139223,-1.22973,0.792429,-6.88813,-3.44848,0.642306,1.16029,-2.86205
1.160997732,-266.984,15.0871,-17.6891,-10.5989,-14.7452,-4.75699,-12.0089,0.91662,2.43805,1.99618,-13.8645,-2.69216,-0.604584,0.74175,-3.35578,-0.0164771,-5.11389,-3.32672,0.813323,0.979398,-4.0742
1.184217687,-269.301,20.2447,-16.2661,-10.9237,-16.1177,-4.16962,-10.63,0.0730173,3.17346,5.75881,-13.8168,-0.756428,2.13566,0.12817,-3.62044,0.657951,-5.63256,-4.52042,0.346227,2.01144,-4.8998
1.207437642,-268.634,18.476,-18.4119,-11.8093,-15.9054,-6.17966,-11.6826,0.42266,2.55545,6.28799,-9.94452,-0.911517,1.06655,0.43762,-0.722092,-0.942876,-6.6974,-4.55598,-1.00876,-0.71078,-5.04447
1.230657596,-266.181,17.4287,-19.4622,-10.118,-18.9716,-8.27072,-12.8741,-3.07578,0.978382,3.646,-10.5809,-0.622956,-0.572368,-0.310965,-1.18067,0.745692,-4.32858,-2.2521,1.83312,1.5326,-2.79437
1.253877551,-267.1,19.7667,-16.9063,-9.44397,-19.1205,-9.92283,-12.451,-2.8908,3.34836,5.90269,-11.7468,-1.40958,1.11924,2.11386,-0.878559,1.05463,-4.604,-4.72528,0.240565,-0.404974,-4.0018
1.277097506,-269.784,22.9069,-20.3979,-8.30762,-20.013,-8.95742,-11.623,-6.78613,2.85345,5.69386,-12.5847,-3.4311,0.109969,1.66417,-1.22112,2.50497,-4.57522,-5.04889,-0.652757,-1.52804,-4.48923
1.300317460,-265.189,20.7467,-21.5221,-10.7226,-19.782,-6.30403,-12.9827,-7.1956,4.49839,2.36911,-12.5389,-2.18725,-0.9248,1.15845,-1.82124,0.674868,-5.61557,-4.67989,-0.517133,-1.57669,-5.43673
1.323537415,-270.87,23.3538,-15.7157,-13.446,-19.635,-0.340147,-12.7113,-8.52107,4.61221,1.97445,-11.7868,1.99426,0.492578,-0.682328,-1.47582,-0.243906,-5.0212,-5.07296,0.773893,2.24164,-6.23546
1.346757370,-267.056,25.0914,-19.4544,-9.31611,-16.2625,-0.0503161,-8.51644,-9.27423,3.5025,2.88822,-9.90887,1.18965,5.83284,4.48974,-2.43334,0.727375,-3.91567,-5.0725,0.383117,2.02666,-5.12873
