TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.000351556,0.00174886,3.1612,0.0723152,0.469176,0.01609,2.3219,0.0305025,0.0557119,2.34118,0.19225,0
0.046439909,0.000260389,0.0014285,3.16397,0.189242,0.440164,0.0131079,2.49746,0.0761763,0.0502801,2.50521,0.0981861,0
0.092879819,1.74318e-06,0.0530709,3.12641,0.350675,0.407632,0.0111929,2.61197,0.128813,0.0722651,2.49807,0.00570468,0.0161859
0.139319728,0,0.169931,3.04478,0.303799,0.386148,0.0145726,2.68985,0.126959,0.11535,2.34091,0,0.0933852
0.185759637,0.0134039,0,3.06123,0.166351,0.483297,0.0291344,2.63594,0.0688887,0.199208,2.24156,0,0.0859389
0.232199546,0.0308556,0.0358605,2.98799,0.0322638,0.591075,0.0402799,2.4848,0.186138,0.2273,2.23072,0.0170401,0.0787935
0.278639456,0.0231077,0.0026028,2.93864,0.00359691,0.480018,0.0641901,2.42621,0.229345,0.154751,2.27824,0,0.0688772
0.325079365,0.0300539,0.000583836,2.93645,0.00389336,0.363624,0.0735249,2.36902,0.295064,0.132148,2.24987,0,0.0507368
0.371519274,0.0378581,0,3.22399,0.0113033,0.308511,0.0724644,2.36866,0.157555,0.154958,2.25278,0,0.0350917
0.417959184,0.000161986,0,3.36581,0.0249284,0.5249,0.114892,1.9858,0.0759576,0.467484,2.24528,0.0698921,0
0.464399093,0.000176275,0.22806,2.97161,0.0153195,0.703499,0.0712469,2.02068,0.216488,0.506917,2.61301,0,0
0.510839002,0.000229391,0.739253,2.82765,0.000679856,0.588129,0.131323,1.94502,0.255543,0.689259,2.49146,0,0
0.557278912,3.57217e-05,0.825125,2.84415,0,0.402442,0.156534,1.95185,0.207787,0.7566,2.38232,0,0
0.603718821,0,0.68201,2.88143,0.0475861,0.299241,0.151012,1.9529,0.146394,0.728125,2.2153,0,0
0.650158730,0,0.453049,2.99019,0.0999284,0.310685,0.143747,2.04591,0,0.637491,2.15184,0,7.43283e-06
0.696598639,0.00746865,0.360449,2.95388,0.161012,0.433352,0.135538,2.07284,0.00168652,0.511249,2.17708,0,1.64315e-05
0.743038549,0,0.545777,2.89512,0,0.495633,0.14248,1.96729,0.000379662,0.403544,2.16634,0,2.8139e-05
0.789478458,0,0.607304,2.94692,0,0.484784,0.150082,2.01737,4.78192e-05,0.476983,2.2419,0,3.68613e-05
0.835918367,0,0.661214,2.97027,0.000847915,0.513721,0.140716,2.04354,0.0016601,0.567086,2.24677,0.00906823,0.0223903
0.882358277,0,0.73923,2.98521,0.0174263,0.527861,0.144377,2.03372,0.000411422,0.696385,2.0235,0,0.0872213
0.928798186,0,0.42476,2.91692,0.0330953,0.476493,0.167503,2.01448,0.000306855,1.24822,1.67773,0.0179546,0.368801
0.975238095,0.0212965,0.28495,2.82091,0.147828,0.157122,0.0944368,1.73776,0,1.7034,1.32004,0.0570097,0.623734
1.021678005,0.0417625,0.0953033,2.71773,0.25491,0.022499,0.0161945,1.68223,0.0393269,1.84841,1.22732,0.0254191,0.709865
1.068117914,0.0227857,0.0976138,2.71654,0.293054,0.0303617,0.0147726,1.67377,0.0336059,1.53709,1.1433,0,0.881985
1.114557823,0.0382206,0.123266,2.74382,0.345064,0.111642,0.0307653,1.77866,0.0261217,1.34774,0.876294,0,1.31763
1.160997732,0.0672996,0.000657245,2.74939,0.518471,0.0489539,0.045627,1.73134,0.0177029,1.71954,0.997192,0.0267918,1.83179
1.207437642,0.0411698,0.00117727,2.65686,0.763016,0.0158805,0,1.59746,0.0390966,2.03334,1.13744,0.106016,2.09643
1.253877551,0.0189979,0.00317816,2.7019,0.922033,0,0.00102731,1.52048,0.0377271,2.04905,1.17338,0.117897,2.03959
1.300317460,0.0101432,0.00300481,2.87237,1.09261,0,0.00288687,1.54662,0.0140834,2.05695,1.37735,0,1.86498
1.346757370,0.0592288,0.0029745,2.92508,0.941891,4.21681e-05,0.0698346,1.60434,0.00657127,1.88689,1.26582,0,1.63564
1.393197279,0.0650603,0.000954857,2.91173,0.818437,0.0177212,0.0441936,1.74773,0.012531,1.58946,1.21005,0,1.42403
1.439637188,0.0351692,0,2.82511,0.821072,0,0.00187086,1.94766,0.0291205,1.42117,1.45729,0.0529176,1.18039
1.486077098,0.0178326,0.650666,2.37631,0.846159,0.771897,0.00292079,1.85628,0.0556108,1.17778,1.80799,0.0731389,0.743669
1.532517007,0.0328522,1.69593,1.47402,0.767586,1.64761,0.00256935,1.62193,0.0554943,0.767101,1.7045,0.0668026,0.544969
1.578956916,0.0503104,2.10194,0.737066,0.628396,2.1268,0.0479744,1.70661,0.0238501,0.811866,1.46972,0,0.504636
1.625396825,0.0712984,2.08073,0.276849,0.501312,2.15359,0.111855,1.74594,0,0.897574,1.54678,0,0.458988
1.671836735,0.268113,2.12276,0.121872,0.504443,2.02366,0.0991037,1.68857,0,0.828102,1.69351,0,0.355844
1.718276644,0.39987,2.13275,0.063599,0.527041,1.93267,0.0169645,1.67711,0.0130559,0.739209,1.83114,0,0.307843
1.764716553,0.204673,1.99055,0.0720052,0.642099,1.87899,0,1.6768,0.0192966,0.668438,2.00039,0.0372506,0.396591
1.811156463,0.107785,1.87715,0.240464,0.684851,2.065,0.0126626,1.75319,0.01988,0.588906,1.91048,0.26752,0.324694
1.857596372,0.294651,2.12055,0.239269,0.4994,1.96384,0,1.68234,0,0.535616,2.0926,0.154845,0.28618
1.904036281,0.383614,2.29232,0.238172,0.439963,1.96478,0.0160749,1.68048,0,0.447338,2.11125,0.118822,0.259309
1.950476190,0.440361,2.67012,0.259933,0.00644827,2.49856,0.0421795,1.37591,0.00512784,0,3.26913,0.104472,0.034256
1.996916100,0.167471,2.99756,0.0828955,0,2.25315,0.0628015,1.3904,0.00199202,0.0466826,3.45463,0.115332,0.0325085
2.043356009,0.00045987,3.23073,0.0241413,0,2.22626,0.0822761,1.37632,0.00128009,0.103833,3.31982,0.278203,0.0264065
2.089795918,0.000619698,3.24401,0.00148031,0,2.24117,0.203355,1.45387,0.000739162,0.332257,3.15358,0.167141,0
2.136235828,0.000665148,3.20165,0.000816855,0,2.2337,0.334976,1.45161,0.0117031,0.370926,2.96617,0.106409,7.13936e-05
2.182675737,0.000549549,3.1712,0.001897,0,2.18786,0.361933,1.4536,0.0113086,0.375817,2.90326,0.230839,0.000152333
2.229115646,0.143398,3.22523,0.00542414,0.00885318,2.16255,0.324216,1.29785,0.023806,0.370181,2.81556,0.141274,0.0693915
2.275555556,0.17441,3.34702,0.00547625,0.0135752,2.10268,0.244884,1.13384,0.0258046,0.431361,2.92788,0,0.157992
2.321995465,0.353217,3.28759,0.00494187,0.0202009,2.16569,0.0531846,1.12841,0.0192448,0.401602,3.18815,0,0.154911
2.368435374,0.34345,3.04676,0.00224136,0.0202431,2.27484,0.0511761,1.19109,0.00174958,0.300271,3.28933,0,0.139068
2.414875283,0.0674922,2.59419,0.0128189,0.0959603,2.4687,0.0570647,1.57297,0.00202734,0.191986,3.20432,0,0.0646814
2.461315193,0.0159324,2.01229,0.0263393,0.0299354,2.49162,0.0322745,1.9774,0,0.189674,2.75323,0.0231805,0
2.507755102,0.0345044,1.85853,0.108628,0.0223683,2.43146,0.0446804,1.93672,0,0.160461,1.83645,0.103573,0
2.554195011,0.121689,1.93383,0.188625,0.00586775,2.49656,0.0660444,1.70324,0,0.0993726,1.46698,0.144884,0.390427
2.600634921,0.197824,1.89983,0.20731,0.0167327,2.71984,0.0236011,1.82926,0.00668037,0.0665229,1.60702,0.0625321,0.719016
2.647074830,0.0493818,1.86194,0.135058,0.0526357,2.93941,0.024824,1.90927,0,0.0343569,1.65286,0.0409709,0.859605
2.693514739,0.00376667,1.85037,0.0804288,0.0785618,3.06582,0.0222663,1.80991,0,0.0461109,1.70495,0.00528969,0.757955
2.739954649,0,1.88311,0.0522844,0.089146,3.13565,0.0265087,1.6885,0,0.0485663,1.72623,0,0.622466
2.786394558,0.000100535,1.81276,0.00452284,0.0831631,3.14241,0.0403932,1.5916,0,0.0453024,1.83949,0,0.573686
2.832834467,0.0372668,1.76789,0.00239799,0.0618762,3.00842,0.0431944,1.56811,0.0259404,0.0222809,2.00877,0,0.614906
2.879274376,0.0196414,1.83302,0.00472907,0.0558608,2.93745,0.0652339,1.6222,0.0129024,0.021697,1.88422,0,0.589427
2.925714286,0,1.99913,0.00881995,0.0684178,2.94001,0.0895424,1.67349,0,0.0218755,1.53782,0.065799,0.812831
2.972154195,0.00333542,1.94938,0.00712998,0.148505,3.22438,0,1.51647,0,0.0245067,0.978753,0.057498,1.84751
3.018594104,0.00295711,1.31751,0.00225353,0.147275,3.83812,0,1.16762,0,0.124783,0.293657,0.0650904,2.45852
3.065034014,0,0.463373,0.000424917,0.121254,4.18321,0,0.524861,0.00708658,0.485697,0.0366517,0.0812162,2.66159
3.111473923,0.000126963,0,0.000465431,0.176618,4.08029,0,0.259194,0.00653886,0.674814,0.209868,0.0855621,2.72588
3.157913832,0.000350959,0,0,0.301429,3.80077,0.00652213,0.319446,0,0.777742,0.483572,0.0744507,2.86347
3.204353741,0.00061802,0.00107517,0.00046457,0.333526,3.87678,0.0139933,0.215502,0,0.771524,0.195645,0.0519582,2.96772
3.250793651,0.0006371,0.00138813,0.000390894,0.237257,4.03353,0.0267563,0.215433,0,0.81984,0.206371,0.0762352,2.80619
3.297233560,0.000364039,0.00251758,0.00255501,0.137373,4.07841,0.0102844,0.225605,0,0.867444,0.180364,0.0928757,2.70757
3.343673469,2.53315e-05,0.0026524,0.00410188,0.0979829,4.10368,0.0489066,0.260617,0.00457043,0.903987,0.119229,0.0584511,2.64774
3.390113379,0,0.00151071,0.00524289,0.0217305,4.05588,0.140161,0.24252,0.0325425,0.965415,0.153455,0,2.60708
3.436553288,0,0.469147,0.0877891,0.197052,3.54413,0.127731,0.0698475,0.193068,1.05995,0.412891,0,2.26194
3.482993197,0.000255611,1.06391,0.120558,0.208179,2.97685,0.137949,0,0.209994,1.04024,0.567446,0,1.90446
3.529433107,0.000173965,1.13606,0.048901,0.092728,3.04027,0.125101,0,0.19691,0.977612,0.926133,0,1.70829
3.575873016,4.84749e-05,1.10236,0.00380408,0.0523379,3.22179,0.102323,0,0.0284703,0.800307,1.1549,0,1.65399
3.622312925,0.000562877,1.0263,0.00339213,0.0193232,3.3357,0.209529,0.0120338,0.00504088,0.639703,1.27482,0,1.51982
3.668752834,0.0235514,0.964548,0.000111175,0.0176646,3.17014,0.193006,0,0.0104495,0.608392,1.44685,0,1.55427
3.715192744,0.0347812,1.20621,0,0.0102838,3.11123,0.0969961,0,0.00491417,0.946907,1.47198,0,1.61382
3.761632653,7.09825e-05,1.44479,0,0.00286157,3.23074,0.108522,0,0.00316679,1.14018,1.42795,0,1.61877
3.808072562,4.91293e-05,1.57614,0.182696,0.0408893,3.41885,0.122996,0.0134033,0.00509241,1.17304,1.36698,0,1.59734
3.854512472,0.000189964,1.55582,0.126006,0.0646913,3.55545,0.126669,0.0254197,0.133376,0.972413,1.411,0,1.50407
3.900952381,0.000141914,1.28989,1.1163e-05,0.0112743,3.73424,0.112617,0.0306099,0.0577571,0.941771,1.20815,0,1.50369
3.947392290,0.00702957,0.681019,0.00351464,0.272463,3.70597,0.0635004,0.147475,0,1.06366,0.738603,0.00446461,1.62227
3.993832200,0.0849815,0.136195,0.00303799,0.520897,3.18018,0.00902221,0.138884,0,1.25879,0.37383,0,1.81136
4.040272109,0.150349,0,0,0.473182,2.71904,0,0.168005,0,1.32667,0.447842,0,1.87649
4.086712018,0.17384,0.000882919,0.000457267,0.470158,2.71448,0,0.328751,0,1.22734,0.597635,0.0136302,2.00638
4.133151927,0.223236,0.00208221,0.000522645,0.604367,2.85374,0,0.390227,0,1.38255,0.494774,0.00126612,2.25398
4.179591837,0.274268,0.00301772,0.0021629,0.754225,3.17535,0,0.457967,0,1.85265,0.0449385,0,2.41138
4.226031746,0.13161,0.00308011,0,0.72607,3.06971,0.0126424,0.471999,0,2.2175,0.113438,0.0890337,2.66001
4.272471655,0.0656549,0.00236221,0.00109501,0.691699,3.04494,0.0808441,0.462754,0,2.43913,0.146488,0.152599,2.68145
4.318911565,0.0812977,0.00158861,0.00405422,0.703545,3.03667,0.187458,0.464025,0,2.40286,0.149611,0.032059,2.43694
4.365351474,0.103557,0.000221896,0.00431493,0.747567,3.16036,0.184486,0.466359,0.0239487,2.09313,0.0559941,0,2.02486
4.411791383,0.135606,0,0.168563,0.718775,3.14882,0.0339472,0.329591,0.0045589,1.70131,0.0492577,0,1.99375
4.458231293,0.120383,0,1.16513,0.698752,2.89412,0.0191998,0.240665,0,1.41281,0.0328371,0,2.32603
4.504671202,0.0673876,0.000425641,1.92661,0.932743,2.01777,0.0165312,1.42434,0.00183049,1.04529,0.0706956,0.0601071,2.31237
4.551111111,0.0771062,0.00256737,2.28492,0.903338,0.61237,0.0134403,1.99756,0,0.9749,0.568196,0.0819235,2.29498
4.597551020,0.0462803,0.00262206,2.51192,0.729572,0.00831769,0.00730834,2.12287,0,0.91801,0.732685,0.0116444,2.21243
4.643990930,0.0214589,0.00196074,2.64089,0.630677,0,0.00654084,2.09592,0,0.935544,0.729657,0,2.14272
4.690430839,0.0550536,0.00211728,2.65423,0.577447,0,0.00756682,2.09171,0,0.809347,0.833211,0,1.93827
4.736870748,0.10769,0.00346846,2.57015,0.601735,0,0.00803603,2.1458,0.0106176,0.739958,1.00927,0,1.79306
4.783310658,0.133299,0.00435525,2.57505,0.705952,0.091921,0.00670371,2.17877,0.027894,0.656409,1.06325,0,1.611
4.829750567,0.0143834,0.0982439,2.67844,0.680868,0.0296818,0.00758136,2.28951,0.0303462,0.723539,1.08022,0.000250894,1.64093
4.876190476,0.0371189,0.053538,2.71466,0.672272,0.0493502,0.00591131,2.25144,0,0.699514,1.08382,0.00586773,1.65085
4.922630385,0.0128626,0.224484,2.71473,0.407506,0.0489139,0.0586533,2.29911,0,0.740968,1.0578,0.00181712,1.59143
4.969070295,0,0.988105,2.55233,0.0238175,0.0188038,0.149728,2.21985,0,0.710412,1.42473,0,1.49479
5.015510204,0.0113137,1.24212,2.5402,0.0198299,0.0915546,0.141794,2.18483,0,0.677808,1.51819,0,1.57154
5.061950113,0,1.31752,2.53214,0.0128473,0.0762055,0.162908,2.19097,0,0.671802,1.45504,0,1.58682
5.108390023,0.0232943,1.34023,2.53765,0.0125952,0.028037,0.148188,2.24294,0,0.665967,1.44112,0,1.53884
5.154829932,0.095474,1.26187,2.5607,0.00844932,0.0938398,0.199788,2.26239,0,0.646986,1.38483,0,1.45699
5.201269841,0.0476935,1.05078,2.55495,0.00757765,0.211004,0.210205,2.31073,0.011856,0.544851,1.49078,0,1.29739
5.247709751,0.0289939,0.959447,2.61154,0.0086369,0.292821,0.130851,2.37087,0,0.50862,1.58527,0,1.17118
5.294149660,0,0.903405,2.62199,0.0115926,0.508884,0.128056,2.41809,0,0.492445,1.70068,0.0127445,1.05207
5.340589569,0,0.99054,2.56441,0.0125804,0.731823,0.129387,2.32561,0,0.421555,1.68404,0.0663421,1.08369
5.387029478,0.00364952,0.992848,2.51647,0.0193771,0.66052,0.133277,2.14057,0,0.756951,1.4354,0.109155,1.32979
