TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-363.351,35.2462,27.8918,5.72643,-5.82506,-12.6322,-10.0505,-7.6713,-6.14073,-4.16696,-1.49085,0.93862,0.428115,-0.930707,-3.08659,-4.43293,-2.28518,2.55835,2.45925,-0.622691,-2.38465
0.023219955,-331.268,48.0376,32.9693,5.69976,-1.61269,-6.95341,-7.96559,-4.27497,-3.39508,-1.48536,0.423571,0.851206,-0.442845,-2.63653,-4.10082,-4.67505,-5.26387,-1.72743,-0.576559,-0.47153,-0.0511107
0.046439909,-337.082,48.4189,34.5177,8.75574,-0.799552,-5.56601,-8.24875,-6.85753,-2.01205,1.66176,1.11914,0.757096,-0.6108,-2.96297,-3.80518,-3.97988,-3.61824,-2.37915,0.791309,-1.23236,-1.03381
0.069659864,-334.485,47.9122,35.1703,5.95481,-2.12765,-5.91377,-8.24942,-5.24108,-2.23269,-1.18175,0.381795,-0.606734,0.57195,-2.79542,-4.75913,-3.543,-3.34575,-2.12771,1.59315,-0.0674046,-1.56303
0.092879819,-338.912,48.4611,37.2594,7.79775,-2.17078,-6.65708,-6.72763,-4.32226,-0.588535,0.500586,0.490125,1.22112,-1.30323,-3.04257,-3.45946,-4.27822,-3.56233,-2.36884,-2.6394,-1.56117,-0.474171
0.116099773,-334.748,48.8748,35.493,6.68251,-1.26315,-6.76995,-8.30014,-4.38843,-1.91839,-1.02664,0.330161,0.668419,-0.826198,-3.16626,-2.86317,-4.05471,-3.30833,-1.34513,-0.455005,-0.550748,0.25228
0.139319728,-336.705,47.3818,36.4158,8.46926,-1.36428,-7.60263,-6.5198,-4.61975,-1.73992,-0.523359,0.979658,1.99966,0.257409,-3.07026,-5.61155,-5.3263,-2.92858,-3.53484,-1.75657,-0.253802,-0.0749158
0.162539683,-336.542,46.6645,35.3847,9.29363,-0.059688,-7.58046,-8.07533,-3.73058,-2.22528,-0.696896,1.61852,2.13149,-1.05601,-3.3972,-3.67601,-3.33917,-4.00869,-1.55121,-0.752388,-0.172936,-0.0498382
0.185759637,-331.905,46.3981,33.5545,9.18418,-1.40191,-7.59153,-6.06741,-4.93532,-4.40211,0.964326,-1.03575,0.574602,1.08837,-2.93419,-4.46115,-3.9769,-3.6326,-2.4415,-1.78529,1.01009,1.16781
0.208979592,-323.558,44.0171,27.4274,10.2518,0.775629,-5.18996,-5.09905,-5.42648,-4.65441,0.494657,1.84481,1.61423,0.871835,-1.25107,-5.37483,-4.65558,-3.70841,-3.71005,-1.21626,1.17196,1.47496
