TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.044253,0.841021,0.446219,0.312381,0.788201,0.737865,0.380912,1.22046,0.38943,1.11341,0.814588,0.582579
0.046439909,0.136945,0.914665,0.43092,0.589035,0.598058,0.51852,0.233008,1.21552,0.274359,1.12976,0.853609,0.744298
0.092879819,0.182026,0.966641,0.423974,0.813044,0.452482,0.347528,0.190783,1.16252,0.260231,0.977417,0.954067,0.859302
0.139319728,0.0115936,0.746962,0.164887,1.70816,0.21014,0.465938,0.285895,1.09562,0.303643,0.618286,1.28759,0.872086
0.185759637,0,0.445477,0.128731,3.25091,0,0.321648,0.259176,1.35247,0.332248,0.113005,1.95926,0.215129
0.232199546,0,0.00864087,0.108768,3.54871,0.127718,0.182542,0.0160731,1.33543,0.269662,0.110844,1.96562,0.23057
0.278639456,0,0.00480013,0.0285143,3.33249,0.256716,0.0680807,0.0178761,1.4507,0.168715,0.246784,1.75324,0.395283
0.325079365,0,0.0053882,0.0259084,3.24451,0.321748,0.0281707,0.0449139,1.57714,0.16057,0.18679,1.59881,0.425434
0.371519274,0,0.00721769,0.0312909,3.40663,0.232244,0.00359659,0.00138292,1.60676,0.21929,0.112395,1.58199,0.356489
0.417959184,0,0.00919858,0.0363784,3.71924,0.138361,0,0,1.49178,0.206419,0.0565486,1.55736,0.282665
0.464399093,0.00832105,0.171741,0.013764,3.80546,0,0,0.221735,1.03663,0.516094,0.009989,1.91648,0.110776
0.510839002,0.300071,0.199509,0.608866,2.91333,0.0190083,0.175867,1.20621,0.200732,0.525581,0,2.23182,0.313653
0.557278912,0.515794,0.304691,0.743741,2.46206,0,0.337162,1.44787,0.23861,0.652819,0.0730082,1.9665,0.215999
0.603718821,0.67919,0.312991,0.740667,2.42021,0.00184129,0.405507,1.45139,0.309596,0.569544,0.0671026,1.80938,0.054262
0.650158730,0.792776,0.219197,0.524919,2.71745,0.00329378,0.174198,1.34943,0.500783,0.462726,0.13361,1.71083,0.00022534
0.696598639,0.524021,0.0366529,0,3.38027,0.0373418,0.0186524,0.999081,1.16218,0.431086,0.132747,1.39999,0.000303312
0.743038549,0.334221,0.0299468,0,3.82012,0.0321718,0.0329736,0.447682,1.49625,0.269924,0.123807,1.16251,0.000322388
0.789478458,0,0.0115579,0.0159398,3.5791,0.392543,0.0302457,0.0564172,1.67498,0.189021,0.0300047,1.32735,0.022882
0.835918367,8.01749e-05,0.016836,0.0433596,3.59197,0.41234,0.0359769,0.0280668,1.61087,0.17866,0.0340506,1.42798,0
0.882358277,6.21761e-05,0.0127823,0.0156857,3.83008,0.155768,0.0266088,0.0163894,1.49665,0.259583,0.0580602,1.39528,0
0.928798186,8.34448e-06,0.0156783,0.0135714,3.92377,0.144933,0.0111512,0.00916598,1.3691,0.281611,0.0437852,1.59227,0
0.975238095,0.000383307,0.0321076,0,4.12107,0.026067,0.0955477,0.0141767,1.3197,0.160473,0.524887,1.82709,0.000153177
1.021678005,0.0275974,0.0393734,0.165678,3.92144,0.145998,0.110621,0.0163199,1.45751,0.303073,0.591305,1.56655,0.0166535
1.068117914,0.0639274,0.0380963,0.318118,3.54408,0.168794,0.0993975,0.205522,1.30317,0.559359,0.813257,1.38628,0.0582056
1.114557823,0.075866,0.0404495,0.434287,3.34783,0.179469,0.101933,0.271864,0.89171,0.545881,0.775607,1.25786,0.109456
1.160997732,0.05648,0.0507846,0.338861,3.22,0.185601,0.100254,0.28654,0.932251,0.660519,0.715955,1.04795,0.191583
1.207437642,0,0.111661,0.0877584,3.64418,0.126431,0.0800424,0.0993099,1.8258,0.490579,0.621082,1.40061,0.0510814
1.253877551,0.00437575,0.234805,0.00199016,3.6124,0,0,0.0489113,1.66854,0.359454,0.626924,1.75473,0.0157551
1.300317460,0.00460057,0.322835,0,3.60587,0,0.044347,0.161615,1.74248,0.285754,0.597582,1.43831,0.00459431
1.346757370,0,0.353453,0.071354,3.57479,0.155784,0.0362803,0.100674,2.00203,0.22068,0.413826,1.52931,0
