TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-424.144,21.3937,3.81761,1.72851,7.85786,4.91579,0.0474147,0.876624,3.59608,2.18463,0.222327,0.890024,2.05166,0.775848,0.344454,1.34047,1.28211,0.378245,0.576099,0.76917,0.243263
0.023219955,-517.123,5.3967,-24.0995,23.972,-15.1515,19.9878,-8.21179,18.9236,-1.25967,13.6847,1.67087,7.94218,3.55504,2.04964,5.546,1.49014,9.74654,3.75857,10.1011,4.01312,8.63339
0.046439909,-519.463,4.24131,-22.3671,23.2475,-12.9537,19.3423,-3.91305,19.2137,-0.92393,14.4243,3.42694,8.53843,2.86618,2.79208,4.82459,0.423915,8.47876,4.23741,10.61,1.30989,6.67977
0.069659864,-192.003,13.5023,-11.8813,-0.949873,3.99912,-5.34992,-7.56678,-8.74135,-5.39694,-1.93217,-1.99224,-2.80905,-5.08014,-4.43698,-0.0321324,1.62158,1.03883,-1.30583,-3.37745,-2.26138,0.378631
0.092879819,-242.475,33.7544,14.6311,4.27723,10.3831,8.3237,5.94209,2.06911,0.987437,5.38059,5.07559,2.31221,-0.488346,-1.09342,1.41985,0.386655,0.835478,0.352427,-0.121661,-0.809343,-2.18701
0.116099773,-256.479,29.9159,13.9202,3.84705,9.47926,11.7948,5.61622,6.69868,6.17666,2.79777,3.48083,2.29156,3.3381,1.09475,1.68448,2.20082,0.449063,1.97836,0.72529,2.5161,1.65577
0.139319728,-288.401,48.483,11.1305,3.72776,13.9541,10.879,5.10799,3.99309,3.74841,1.34836,1.11241,2.77659,2.20568,1.4605,2.01416,1.86393,-0.632064,1.0028,2.63303,-0.338814,0.412058
0.162539683,-303.107,49.5351,13.8953,3.4077,10.3076,8.93445,6.31505,4.31907,4.70564,2.68441,2.36167,3.16327,1.72418,3.36581,2.47228,2.22661,2.31923,1.84227,1.03214,-0.121149,-0.259582
0.185759637,-295.442,53.5546,6.39179,-7.9625,7.13106,6.86143,2.1762,-1.1586,0.452726,1.15368,0.6777,4.47726,2.65981,0.50645,2.08624,1.5395,0.303823,1.01554,3.5494,0.793632,0.63583
0.208979592,-304.315,55.3385,16.4423,-3.15438,1.94119,3.48497,3.6381,3.27677,2.52792,-1.86976,1.87784,1.98253,3.33261,1.70986,0.361008,1.06617,0.251473,-0.0662901,-0.0563168,-0.922713,0.833635
0.232199546,-326.879,70.6996,13.5194,-1.31402,-0.653348,-4.74208,-0.0634931,2.58451,-1.57644,-3.44669,-0.803453,1.23277,-0.426944,1.48018,0.468269,0.272933,-0.466302,-0.994566,-0.897362,0.385608,0.484985
0.255419501,-332.934,68.7064,12.944,2.925,2.68053,-3.53361,-2.60857,3.15518,-1.53129,-1.2346,-3.09953,-0.359277,0.728973,1.58489,-1.90303,0.127256,-3.42179,-0.235986,-1.89856,-0.710914,-3.93896
0.278639456,-331.999,68.7004,14.8679,4.24506,2.4522,-2.56284,-4.50418,-0.644529,-1.94006,-1.7765,-1.95751,0.653738,1.62287,2.22678,-3.54417,0.274714,-2.72832,1.45421,-2.29004,-0.341267,-2.92403
0.301859410,-329.719,71.6166,10.8889,2.90715,6.14713,1.80334,-2.76711,0.862741,-2.91358,-0.630367,-0.718665,2.37542,-1.81641,1.52768,-1.84838,2.78659,-2.7231,0.87498,-4.6305,-3.23964,-3.26203
0.325079365,-327.569,69.729,12.9042,1.85588,5.32867,0.778122,-0.650393,-1.17962,-2.55848,-1.65503,-1.74672,1.00125,0.304939,1.17014,-0.0502205,1.09461,-2.03723,-1.08946,-2.50859,-1.38092,-3.12225
0.348299320,-295.387,80.4088,-4.63153,-9.62236,5.81852,5.37708,-0.492033,-2.09197,-4.10077,-1.91416,0.588517,4.3584,-1.92763,-2.37715,1.53781,1.62344,-6.31529,-2.32274,0.021894,1.09929,-3.07415
0.371519274,-307.537,82.1721,3.23524,-3.07486,8.04758,5.56733,-1.17358,-2.37283,-2.78113,-2.20989,-3.60808,5.92234,1.80823,-0.919217,-1.59096,0.417027,-5.7872,-0.60188,0.198503,0.190444,-2.47195
