Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1odExI7RdWc4BT515LTAwj,"Daylight","Daylight","David Kushner",2023-04-14,212953,13,false,,1970-01-01T00:00:00Z,"","Miserable Music Group, LLC",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
spotify:track:7MiLmLbwNoyf47xQ4TCVYp,"Papa Was A Rollin' Stone - Single Version","20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s","The Temptations",2000-01-11,419640,65,false,,1970-01-01T00:00:00Z,"motown,classic soul,soul","UNI/MOTOWN",0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,4
spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,81,false,,1970-01-01T00:00:00Z,"folk rock","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
spotify:track:44fNhBfmBUhaByY0651VIc,"Irgendwie, irgendwo, irgendwann (Special 12"" Dance Mix)","Feuer und Flamme","Nena",1985-06-24,437160,56,false,,1970-01-01T00:00:00Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.352,0.604,4,-12.634,0,0.04,0.00326,0.00213,0.208,0.465,202.932,4
spotify:track:3qQbCzHBycnDpGskqOWY0E,"Ella Baila Sola","DESVELADO","Eslabon Armado;Peso Pluma",2023-04-28,165671,75,false,,1970-01-01T00:00:00Z,"corridos tumbados,sad sierreño,corrido,sierreño,música mexicana,corridos bélicos,banda","DEL Records",0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3
spotify:track:2ksyzVfU0WJoBpu8otr4pz,"METAMORPHOSIS","METAMORPHOSIS","INTERWORLD",2021-11-25,142839,77,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,brazilian phonk","INTERWORLD",0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,4
spotify:track:0K2WjMLZYr09LKwurGRYRE,"Theme From New York, New York - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra",2008-05-13,204906,69,false,,1970-01-01T00:00:00Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.356,0.496,7,-6.95,1,0.0317,0.587,0,0.246,0.549,108.297,4
spotify:track:6D2Ef8A1jNtavX68JX3bTO,"a-okay","no sleep in LA","blackwave.;Abhi The Nomad",2022-09-09,219319,46,true,,1970-01-01T00:00:00Z,"jazz rap","black.wav",0.831,0.593,11,-6.931,0,0.132,0.202,0.000715,0.119,0.589,111.974,4
spotify:track:5RYLa5P4qweEAKq5U1gdcK,"A Kind Of Magic - Remastered 2011","A Kind Of Magic (2011 Remaster)","Queen",1986-06-02,264253,73,false,,1970-01-01T00:00:00Z,"classic rock,rock,glam rock","EMI",0.67,0.776,9,-5.874,1,0.0356,0.0184,0.00294,0.128,0.703,130.128,4
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,"Superhero (Heroes & Villains) [with Future & Chris Brown]","HEROES & VILLAINS","Metro Boomin;Future;Chris Brown",2022-12-02,182666,79,true,,1970-01-01T00:00:00Z,"rap,r&b","Republic Records",0.709,0.583,5,-5.298,0,0.204,0.138,0.00000297,0.195,0.533,116.624,4
spotify:track:5dUMh0ugelpKfoFp3qChuK,"Hit the Road Jack","True Genius","Ray Charles",2021-09-10,119880,75,false,,1970-01-01T00:00:00Z,"soul,soul blues,blues,classic soul,vocal jazz","Tangerine Records",0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,85,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:2sTDlCxmuZCTDKKk9f1qus,"WHERE SHE GOES","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,231704,77,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,4
spotify:track:1UGD3lW3tDmgZfAVDh6w7r,"Devil In A New Dress","My Beautiful Dark Twisted Fantasy","Kanye West;Rick Ross",2010-11-22,351946,79,true,,1970-01-01T00:00:00Z,"rap,southern hip hop","Roc-A-Fella",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
spotify:track:7zXW8qC4ZFmA542eEHppke,"Trip To Mars (Astronauts)","Renaissance Of Rave","Sub Zero Project",2022-07-01,182168,48,false,,1970-01-01T00:00:00Z,"hardstyle,frenchcore,hardcore","Dirty Workz",0.434,0.868,2,-6.067,1,0.131,0.000653,0.000137,0.441,0.258,150.106,4
spotify:track:0YFqKxV9uNu6LUeYkLOKRS,"On Time (with John Legend)","HEROES & VILLAINS","Metro Boomin;John Legend",2022-12-02,168920,63,true,,1970-01-01T00:00:00Z,"soft pop,neo soul","Republic Records",0.358,0.601,5,-6.7,0,0.048,0.749,0.000407,0.313,0.497,82.513,3
spotify:track:4eMKD8MRroxCqugpsxCCNb,"MOJABI GHOST","DATA","Tainy;Bad Bunny",2023-06-29,232131,6,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","NEON16, LLC",0.782,0.787,9,-2.533,1,0.0334,0.0125,0.0000597,0.112,0.533,122.021,4
