TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-278.47,6.79633,1.85617,11.6367,-3.23066,5.02625,2.23538,1.10984,-5.45968,-0.590779,-3.05859,1.52674,1.52156,1.5115,3.45931,2.96188,1.7536,-0.177944,-0.409242,-2.02992,2.05175
0.023219955,-243.092,1.2169,5.49689,11.0004,-2.80065,0.524867,-1.10877,1.79801,-2.71333,3.02538,-0.787842,-0.367698,-2.87879,-2.71302,-2.38067,-3.26863,-0.465151,4.40679,2.08854,0.711688,0.176076
0.046439909,-215.106,11.371,0.326724,1.63779,-2.22931,6.82506,2.60725,3.53839,-2.23759,1.10907,-3.06607,4.15923,0.513258,-3.04708,-4.27738,-0.768268,2.22604,1.99198,-2.40819,-3.10286,-1.5944
0.069659864,-217.324,12.3969,4.39288,5.38384,-1.16308,6.24356,0.201072,4.13303,-0.543473,7.50292,1.87767,-0.538911,-2.75144,0.132134,-2.22502,-1.25861,-2.60638,2.43648,2.85386,1.19469,-0.82806
0.092879819,-214.251,20.0964,3.40134,5.12007,2.98464,8.33891,0.661816,5.3933,3.63775,4.96244,-1.43696,-0.605002,-2.20572,2.23881,1.57931,0.0691769,0.96246,5.41904,2.23025,-0.252335,-2.04498
0.116099773,-219.587,22.0986,1.70161,4.82642,-0.10785,6.20593,1.32654,3.22115,0.614108,6.96237,-2.26551,-2.54804,-3.80434,-1.1949,1.4912,0.167723,-2.34247,2.42407,1.93692,0.971189,-1.7729
0.139319728,-220.717,20.7032,1.82541,4.56332,2.21524,7.52797,-1.2487,4.74198,0.506175,3.70667,-2.32626,-0.543028,-2.16974,-0.597775,1.05687,-0.0571564,-1.23598,4.29721,2.63067,0.134166,-2.68239
0.162539683,-224.891,18.7495,-1.10838,4.74037,-0.938848,5.23049,-0.584429,5.77704,1.43338,4.92073,-3.02774,-1.50564,-2.69557,-0.834982,0.725143,0.680712,0.270054,3.63444,0.497033,-1.1377,-1.49399
0.185759637,-221.167,22.7953,-1.92434,4.11868,1.4656,7.4232,-2.63065,3.20263,-1.06307,3.24361,-0.695757,-0.693639,-1.65443,-1.45105,-1.38649,1.01812,-0.161746,1.79989,1.21213,-1.04603,-1.68082
0.208979592,-219.934,22.1976,-2.60568,4.56534,-0.0753921,7.23301,0.645531,4.312,-2.94478,3.57843,1.0837,0.478378,-4.33017,-2.52088,-1.18023,-0.469276,-0.104485,1.03769,-0.397385,0.896712,1.2303
0.232199546,-220.037,22.8474,-1.21781,5.95581,0.723993,6.44023,-2.20463,1.55151,-1.07213,4.32434,-0.409703,1.13182,-3.35878,-2.17444,-1.39982,0.920205,-2.38797,0.615501,-0.805988,-0.595647,-0.80073
0.255419501,-225.714,23.5831,1.018,10.6539,-0.60264,7.10692,-2.56165,1.39828,-1.93411,2.39073,-0.16864,-1.56037,-4.78249,-2.51139,0.648941,0.0179564,-1.13717,3.12679,0.831656,-0.350526,0.454516
0.278639456,-233.209,24.1759,1.00558,11.0146,0.304221,5.61048,-0.503245,5.27371,-1.04626,1.41994,-0.166736,1.4054,-1.66036,-0.0116333,2.17044,0.681973,-1.77105,2.2813,1.23217,0.2146,-0.679357
