TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,2.39955,0.117743,0.0107061,0.201165,0.612445,2.91601,0.0930906,0.3946,0.0275757,2.19765,0.000244915,0.184794
0.046439909,2.59828,0.0508051,0.00744309,0.110551,0.465231,3.15457,0.340497,0.452867,0,2.28218,0.026791,0.0965754
0.092879819,2.71704,0.0325129,0.0115517,0.0472378,0.429139,3.22874,0.524266,0.463193,0,2.21058,0.100544,0.0634871
0.139319728,2.74555,0.132642,0.00162748,0,0.650432,3.30875,0.465859,0.449597,0,2.06787,0.138552,0.0181133
0.185759637,2.87222,0.20906,0.00169992,0.0327379,0.766076,3.24164,0.223826,0.436404,0,2.1993,0.173478,0.0200009
0.232199546,2.71856,0.235836,0.00310327,0.014794,0.765218,3.42099,0.0290848,0.449972,0.0487608,2.53534,0.0612275,0.102076
0.278639456,2.59584,0.238002,0.00155751,0.0476242,0.67109,3.33775,0,0.533948,0.091418,2.78461,0.0483794,0.0818095
0.325079365,2.63179,0.231838,0,0.0927221,0.628215,3.05044,0,0.799966,0.0756752,2.91337,0.0427732,0
0.371519274,2.62735,0.243339,0,0.0624552,0.767564,2.78283,0.0170962,0.945341,0.0676595,3.08048,0.0993696,0
0.417959184,2.58809,0.25039,0.000209785,0.0624789,0.862519,2.69067,0.0198002,0.942421,0.0601952,3.21618,0.105303,0
0.464399093,2.55732,0.254852,0.00237206,0.120453,0.876714,2.59338,0.00788924,0.794266,0.0540173,3.31407,0.124071,0
0.510839002,2.41937,0.267301,0.00288787,0.159378,0.775494,2.76383,0.0781523,0.721996,0.0417873,3.49029,0.10215,0.0360612
0.557278912,1.97013,0.284815,0.000596388,0.176257,0.662693,3.10995,0.227522,0.656771,0.0788116,3.4918,0,0.109614
0.603718821,1.95659,0.263627,0,0.220849,0.61395,3.19513,0.510996,0.517932,0.0930905,3.34066,0,0.137075
0.650158730,2.19222,0.0264731,0,0.303589,0.526815,3.26755,0.695642,0.412299,0.0788187,3.32742,0,0.00800649
0.696598639,2.11539,0.00233365,0.000874744,0.321588,0.493964,3.22959,0.685076,0.320397,0.0699191,3.39329,0,0
0.743038549,1.85807,0.00089301,0,0.248515,0.779358,3.09466,0.682428,0.301022,0.0820952,3.23922,0,0
0.789478458,1.99797,0,0,0.156758,0.888662,3.08236,0.580109,0.407145,0.0938773,2.97561,0,0
0.835918367,2.36518,0.000296323,0,0.144412,0.665211,3.34413,0.43199,0.471208,0.0935823,2.81136,0,0
0.882358277,2.57256,0.0017016,0.000184954,0.17299,0.379571,3.59794,0.352755,0.486474,0.089209,2.85309,0,0
0.928798186,2.75748,0.00184708,0.00244278,0.138711,0.362125,3.6469,0.20893,0.428769,0.0856866,3.04163,0,0
0.975238095,2.72317,0,0.0008849,0.105071,0.379537,3.7628,0.0482766,0.310028,0.0996876,3.29348,0,0
1.021678005,2.68627,0,0.00158248,0.0971238,0.379376,3.7212,0,0.322268,0.0949205,3.34064,0,0
1.068117914,2.7218,0.000948323,0.00363093,0.0987796,0.41168,3.61701,0,0.374616,0.0756254,3.321,0,0.040589
1.114557823,2.87308,0.00221817,0.00367889,0.0841807,0.555769,3.39304,0,0.337334,0.0384704,3.35508,0,0.0657953
1.160997732,2.95478,0.0413256,0.00320121,0.0558426,0.57081,3.23148,0,0.209778,0,3.42961,0.0708089,0.0352041
1.207437642,2.8395,0.133073,0.00356358,0.0857174,0.544823,3.17753,0.0359048,0.125588,0,3.48452,0.155793,0.0242474
1.253877551,2.60762,0.190553,0.00229711,0.0931784,0.671177,3.20878,0.133446,0.166695,0,3.43291,0.0937505,0.0655465
1.300317460,2.53656,0.186831,0,0.14353,0.713927,3.23985,0.381306,0.339485,0,3.28675,0,0.06853
1.346757370,2.4692,0.14,0.00025715,0.236444,0.659721,3.33911,0.549625,0.623113,0.074009,3.14131,0,0.00134947
1.393197279,2.4729,0.0654428,0,0.24735,0.632498,3.54626,0.370317,0.693883,0.0976598,3.03513,0,0.000218451
1.439637188,2.59796,0.0244196,0,0.292467,0.694673,3.57524,0.26677,0.66227,0.107923,2.85915,0.0182702,0.000267462
1.486077098,2.7164,0.0362787,0,0.256537,0.754995,3.45666,0.324272,0.57079,0.0772021,3.0101,0.0893069,0.000332826
1.532517007,2.81971,0.0797266,0,0.0897308,0.978442,3.10409,0.334651,0.503394,0.0239939,3.16518,0.0672647,0.0511427
1.578956916,2.85609,0.110477,4.49486e-05,0.0470823,1.05448,2.99837,0.240522,0.578853,0.0156686,3.0857,0.00630047,0.117797
1.625396825,2.84142,0.153611,0,0.0920427,0.862979,2.91643,0.256633,0.567813,0,2.86928,0,0.0905248
1.671836735,2.81539,0.167344,0,0.0695954,0.855243,2.97586,0.310431,0.539013,0,2.6793,0.00146347,0.00019949
1.718276644,2.92282,0.0916481,0,0.00501487,0.842847,3.14794,0.3183,0.405196,0,2.93166,0.116031,0
1.764716553,2.97637,0.00117314,0.0005716,0.00452363,0.85174,3.39976,0.240303,0.339137,0.0517283,3.11174,0.0999471,0.0409742
1.811156463,2.93082,0.00120604,0.00291954,0.0107731,0.990819,3.34727,0.141774,0.23775,0.0352333,3.29276,0.0244633,0.0807252
1.857596372,2.94984,0,0,0.00794196,0.931418,2.95323,0.157715,0.139404,0.0831986,3.56206,0.100935,0.02623
1.904036281,2.84512,0.0291136,0,0,0.905013,2.88997,0.113336,0.168267,0.0874726,3.66543,0.10173,0.00764972
1.950476190,2.91209,0.0837094,0,0.108818,1.03027,2.60369,0.0617255,0.414471,0.0787432,3.7382,0.0847234,1.5164e-05
1.996916100,2.91385,0.0918155,0.000348986,0.18497,1.16684,2.3664,0.145112,0.553456,0.0821602,3.75359,0.0667951,0
2.043356009,2.66736,0.0911698,0.00230554,0.121605,1.32029,2.3791,0.222018,0.728528,0.0744566,3.60529,0.0357237,1.03863e-05
