TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-272.981,19.3882,1.22062,-0.949443,1.76344,1.36272,0.442396,3.15726,4.42756,4.73706,4.63903,3.27633,1.35585,2.4342,3.4379,1.8132,1.21418,2.59439,0.769643,-0.420414,1.52357
0.023219955,-291.115,38.7594,-3.99902,4.57093,7.33944,0.898776,7.76847,1.74308,0.472994,0.248107,3.27022,0.976397,1.15041,-0.0163888,0.168593,2.69938,2.91906,1.97683,0.588365,-0.89674,-0.38204
0.046439909,-274.72,43.055,-12.7216,2.40125,6.04584,2.2565,6.94133,1.30314,2.37737,-0.0711703,0.811739,2.34062,1.69957,0.211723,0.591476,1.31348,0.780147,0.984619,0.847015,0.0487577,0.857687
0.069659864,-289.81,42.0532,-10.8366,-2.83385,7.31574,-0.236071,4.10635,0.407705,2.21749,0.828781,0.916596,-0.186051,1.01513,0.348706,3.88583,3.12005,1.40695,0.567191,-1.52394,-1.6929,-1.14569
0.092879819,-286.978,34.2246,-10.1102,1.08085,6.61748,0.43785,3.24561,-0.419124,0.199238,-0.35981,3.29001,1.10294,0.777328,-0.121169,2.59954,4.39786,1.50635,4.65065,2.61984,1.56331,0.70883
0.116099773,-278.665,39.2274,-13.8492,0.588266,4.64048,1.03455,9.11034,4.57807,0.326958,0.386518,3.85018,2.20348,-0.0187072,-0.412406,2.99212,3.16471,2.11975,1.86518,1.30406,1.64987,0.791407
0.139319728,-271.366,30.2672,1.77195,-4.11858,6.3584,1.67318,5.76733,4.6979,4.59324,0.0784089,3.25869,-3.25429,5.00716,-1.24986,3.18315,1.77365,-0.425969,3.64786,0.128644,3.07922,1.63932
0.162539683,-270.055,35.6984,-7.89137,0.488821,7.17982,2.33761,4.40176,0.91154,1.13735,-0.721245,-0.907366,0.745885,2.81361,-3.11198,1.68869,4.51682,0.206193,3.44256,-0.37501,1.73311,0.458759
0.185759637,-277.042,41.0157,-13.5782,0.826492,6.23972,2.25179,6.51114,-0.134161,1.95675,0.906103,0.536567,1.20691,-1.05576,0.175365,1.55221,2.27341,2.31862,1.12555,0.997437,-0.634585,2.76838
0.208979592,-281.606,34.7554,-8.7893,2.44528,5.74051,6.2348,8.79861,0.720271,-0.625291,-0.0605399,-3.3343,-0.606146,0.0905297,-3.61898,1.83967,-0.0820389,0.894973,0.145261,1.55071,1.36387,-0.845005
0.232199546,-274.777,40.7823,-12.3406,0.590826,6.37582,2.31582,6.6105,1.1583,1.634,0.865854,2.42663,1.11465,1.11816,0.278338,0.548059,-0.209482,-0.364531,0.490797,0.433234,-0.804437,0.450709
0.255419501,-271.275,30.1108,-13.4642,-0.672267,6.50298,2.95042,5.81784,1.26528,1.3853,1.49013,1.17605,1.08782,0.0995953,-2.43766,2.15959,2.86246,3.3001,0.70724,-0.246903,-0.144579,0.8821
0.278639456,-273.217,26.2331,4.33257,-4.87042,8.57581,3.13831,2.62824,4.79165,0.332944,1.42787,2.13235,1.44689,1.20274,-0.9743,1.47207,2.37191,1.30274,-0.279041,-1.75414,-1.09688,2.26536
0.301859410,-250.669,17.999,-3.14983,-9.2928,8.32413,1.76003,3.46911,2.60726,0.159813,1.77845,-0.133719,-1.44382,2.85441,-1.008,2.39925,-1.71588,0.110671,1.73837,0.51117,0.331369,1.34485
0.325079365,-251.522,15.1709,2.13136,-6.16294,7.36186,4.33534,2.56596,3.81307,1.65358,2.50972,4.22056,1.71756,1.25214,0.254039,-0.692446,0.572718,-0.555667,-1.15188,-1.95196,-1.14156,-1.01892
0.348299320,-257.332,15.0274,9.65097,-1.35044,4.79343,5.33188,0.04287,1.91233,-0.759778,3.30304,0.251868,3.2832,1.4032,0.399927,1.90416,2.18664,0.967674,1.87881,0.538063,-0.662757,-0.283163
0.371519274,-244.55,17.7707,0.842312,-3.61524,5.26057,3.46324,3.31806,-1.29829,-0.080305,0.619652,1.48301,0.531073,0.960307,-0.38222,-0.408502,0.184217,-0.657473,0.834541,1.19674,0.702194,-1.2468
0.394739229,-253.709,15.9908,-0.0756012,-3.65338,5.5403,6.01292,2.66773,2.33679,0.117036,-0.247671,0.820234,-0.36125,1.44033,-1.09042,1.32934,1.108,1.5594,0.345405,-2.30709,-2.23659,0.807599
0.417959184,-255.198,14.2908,8.15434,-3.67335,-0.150301,4.22669,-0.0947248,1.39474,-1.49258,-2.83162,0.440752,-0.388566,4.00455,-0.737106,0.22666,3.04729,0.0703936,2.21604,0.926073,0.577891,0.738634
0.441179138,-248.047,14.0717,0.195767,-7.78255,5.57976,7.20198,3.19767,4.65685,-1.56242,0.421099,1.83988,0.965097,1.84792,-1.30709,2.10747,1.03333,-1.48764,-0.651193,1.83848,-0.235966,2.59415
0.464399093,-254.821,15.0359,-2.12275,-7.39111,2.57757,5.17703,0.898975,2.92139,-0.119712,3.51418,1.16422,0.596983,1.32442,0.741129,0.929621,0.15995,0.791933,0.710765,1.01098,-1.62697,0.456447
0.487619048,-267.925,12.5401,8.69597,-0.0460591,5.95123,4.41366,1.15156,2.77041,1.66885,0.487982,-1.50828,0.635197,0.135391,-2.05788,2.66736,1.58982,4.47509,2.54298,2.70172,2.46861,1.25403
0.510839002,-247.339,15.261,-3.3167,-5.05923,3.46122,5.56914,1.135,0.00427955,-3.48225,0.573286,-0.27137,1.56412,0.0493281,-1.14102,2.80844,2.84179,1.76368,-0.660411,0.0634025,0.455706,-1.26612
0.534058957,-249.803,14.4432,1.29289,-4.58421,1.1406,5.73167,0.158385,-0.394152,-2.57317,0.97724,0.782527,1.08066,2.07499,1.34888,1.45338,0.373795,2.36985,0.82325,-1.13049,-1.06497,-0.182534
0.557278912,-257.226,10.6835,8.91837,0.547188,3.61957,5.71438,4.38983,-0.288869,-1.39862,-0.800795,-1.91585,-0.474984,-0.136595,-0.967984,0.396339,-1.64049,-0.0456671,-0.0801973,-0.74401,-1.95436,-2.94754
0.580498866,-248.77,11.3857,-0.196269,-5.72803,4.33294,6.68461,3.86962,4.5592,1.94657,3.06579,1.71588,0.406004,1.5236,0.946821,-1.0728,0.551023,-0.634734,1.72139,-0.311823,-0.17172,-0.0879001
0.603718821,-260.351,16.6521,0.26087,-1.72627,3.54747,8.62591,3.06329,3.46728,2.8781,-0.169932,2.56632,2.47603,1.60264,2.13102,1.47346,5.19756,0.422575,3.36922,1.47635,-0.0349549,-0.92947
0.626938776,-263.085,14.4079,7.47527,-1.00134,1.52008,5.6308,2.8257,0.914081,0.0889602,-0.997426,-1.84192,-0.312452,-2.75985,-0.72723,-1.56532,1.51271,2.68074,2.7512,0.648974,0.0748695,0.125736
0.650158730,-256.478,22.8596,2.35436,-2.02694,6.29653,10.1444,4.5184,2.98412,-0.773633,1.55324,2.96848,2.59378,1.71838,3.80734,-1.18999,2.50078,0.0140088,0.0687253,-0.218485,-1.04247,0.595183
0.673378685,-264.179,20.4032,5.37361,-2.78103,4.65149,12.2645,8.14871,7.06566,2.57542,1.83596,1.51915,2.63395,2.01422,2.33444,0.325134,3.28842,0.927118,1.24966,0.582514,-0.738524,0.859072
0.696598639,-271.065,24.1981,1.47361,-3.33468,5.14858,4.47758,5.15779,1.43213,0.489013,2.85469,1.55718,5.28572,3.77848,4.38498,0.852758,2.50632,0.412844,2.44065,1.47049,2.09739,-0.742754
0.719818594,-257.649,32.6661,-1.13839,-3.77002,6.82748,0.537356,5.0378,-0.959128,-2.35835,1.38915,0.822664,1.04495,1.84072,1.69931,0.396891,-0.981079,0.389353,2.56599,0.364241,3.86108,0.217196
0.743038549,-265.133,27.4834,4.00586,-3.60931,8.54634,6.04241,5.36233,2.11325,1.75402,2.71925,1.56264,1.61514,2.66485,-0.0466723,1.06904,2.84632,1.12353,2.06295,-1.0082,-1.21127,-0.308426
