TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,1.26065,0.0539271,1.7143,0.864183,0.826019,0.726214,1.24407,0.00164977,0.342217,1.98839,0.0910551,0.400569
0.046439909,1.18626,0.00534598,1.8122,0.800319,1.11807,0.863686,1.20067,0.00510834,0.299695,2.04663,0.00689967,0.260809
0.092879819,0.944397,0.000651999,1.92703,0.574392,1.16634,1.10401,1.19646,0.11631,0.0107076,2.12479,0.139943,0.278409
0.139319728,0.81691,0.364842,1.72754,0.88808,1.10333,0.92897,0.803011,0.189951,0.0658912,2.13418,0.115381,0.192434
0.185759637,0.930257,0.356586,2.03467,0.838427,0.915104,0.293716,0.875605,0.127619,0.146221,2.26243,0.129028,0.0627037
0.232199546,0.686968,0.305005,2.47607,0.503417,1.02735,0.312264,1.25233,0,0.204348,2.12387,0.178248,0.0880458
0.278639456,0.529312,0.00313744,2.70036,0.0563687,1.28326,0.507758,1.39206,0,0.247139,1.96844,0.161094,0.0696444
0.325079365,0.347459,0.00411349,2.8042,0.000435558,1.38144,0.902977,1.33595,0.0267729,0.146353,1.51002,0.334816,0.168624
0.371519274,0.433345,0.0724567,2.46877,0.00984851,1.32962,1.1174,1.40568,0.00918825,0.373542,1.53271,0.382571,0.164359
0.417959184,0.532331,0.225575,2.11644,0.118407,1.3725,1.21489,1.51394,0.00887682,0.433216,1.3528,0.238314,0.103382
0.464399093,0.519245,0.183824,1.9091,0.413832,0.84999,1.22894,1.56119,0,0.28053,1.32108,0.244107,0.911646
0.510839002,0.588137,0.285622,1.41048,0.558737,0.905159,0.998944,1.23656,0,0.41841,1.32029,0.560129,1.16514
0.557278912,0.468975,0.768185,0.983717,0.158953,1.3662,0.907286,0.921905,0.42152,0.187426,1.43031,0.473501,0.983915
0.603718821,0.0477598,1.18934,0.779354,0.208134,1.43752,1.03109,0.688255,0.607465,0.217099,1.72275,0.462638,0.909059
0.650158730,0.288025,0.986364,0.389662,0.575103,0.814745,1.1204,0.454742,0.93712,0.282836,1.8874,0.371061,0.998098
0.696598639,0.479008,0.495605,0.403142,0.581958,0.529446,1.60675,0.342261,0.819569,0.258516,1.79483,0.224343,1.04218
0.743038549,0.511759,0.742224,0.640207,0.173164,0.375648,1.7592,0.440419,0.808511,0.0976426,1.87252,0.288497,0.612551
0.789478458,0.388708,1.06461,1.14107,0.327844,0.215217,1.91749,0.541723,0.336449,0.169498,1.99868,0.196554,0.333294
0.835918367,0.473807,0.99593,1.40985,0.330075,0.418164,1.85837,0.586214,0.0215759,0.169702,2.22828,0.275395,0.212204
0.882358277,0.325048,0.648636,1.46661,0.279074,0.654943,1.91501,0.435308,0.00658719,0,2.37294,0.325788,0.062363
0.928798186,0.124336,0.327951,1.88834,0.398248,0.612091,1.97952,0.454736,0,0,2.39064,0.217743,0.0524272
0.975238095,0.105602,0.265676,1.98967,0.548886,0.527443,1.62217,0.574915,0,0,2.32751,0.150172,0.0455151
1.021678005,0.225227,0.540656,1.69104,0.500657,0.403815,1.48346,0.590115,0,0.218996,2.16588,0.0915008,0.0924384
1.068117914,0.268531,0.335256,2.06534,0.556175,0.132889,1.61118,0.0173666,0.251122,0.73269,1.6435,0,0.107211
1.114557823,0.0899385,0.413909,2.08639,0.618382,0.111002,1.49823,0.0253375,0.803811,0.783134,1.41737,0.114664,0.0777118
1.160997732,0.117068,0.650967,2.08364,0.380776,0.14547,1.41446,0.0309555,0.70445,0.54126,1.56484,0.28554,0.0118819
1.207437642,0.516538,0.661229,1.91372,0.197116,0.660905,1.30735,0.46313,0.15637,0.890818,1.4904,0.194962,0
1.253877551,0.981825,0.106968,2.15067,0.0123727,0.639258,1.23398,0.75798,0.0847488,1.26784,1.39738,0.0201819,0.016231
1.300317460,1.011,0.0524752,2.32487,0.0174614,0.361657,1.2847,0.757676,0.0177925,1.39412,1.2205,0.000150555,0.148664
1.346757370,1.02502,0.00304484,2.45678,0.0412928,0.449784,1.0776,1.1309,0.0189683,1.93174,1.15544,0,0.127459
1.393197279,1.11615,0.00221155,2.32496,0.0591526,0.289328,0.841003,1.21728,0.0230709,1.78682,1.52846,0,0.116344
1.439637188,1.02431,0.00390571,1.76538,0.00948305,0.539735,0.618165,1.22492,0.0280782,1.68889,1.69705,8.34248e-05,0.147134
1.486077098,1.01178,0.0205545,1.6601,0.345369,0.45535,0.490315,1.2894,0.0167857,1.23659,2.09857,0.000130041,0.195584
1.532517007,1.28912,0.0119368,1.50982,0.691356,0.301747,0.563338,1.61772,0.0946859,0.531042,2.01529,0.00275825,0.10271
1.578956916,1.20174,0.000886406,1.47341,0.451709,0.399692,0.794544,1.61538,0.313443,0.474579,1.77678,0.286341,0.0449074
1.625396825,0.612532,0.00975416,1.40868,0.699266,0.513543,1.16935,1.51644,0.511278,0.140073,1.44722,0.479108,0.016164
1.671836735,0.2631,0.279236,1.42871,0.754532,0.414142,1.38444,1.36793,0.51231,0.0906126,1.12516,0.396379,0.070767
1.718276644,0.00612549,0.599403,1.77947,0.739609,0.00157982,1.52822,1.20412,0.464572,0.0713139,0.940102,0.27754,0.164926
1.764716553,0,0.590944,2.03595,0.388312,0.0899578,1.49391,1.08014,0.40311,0.255568,0.922819,0.288441,0.178054
1.811156463,0.316769,0.625248,2.19813,0.0724405,0.351217,1.63944,0.537517,0.112853,0.331612,0.844832,0.195991,0.235438
1.857596372,0.524185,0.525012,2.20451,0.0149352,0.318872,2.03274,0.152315,0.0342971,0.163737,0.917698,0.162784,0.412027
1.904036281,0.538182,0.464034,2.28054,0.0189893,0.281045,2.15049,0.026721,0.0707925,0.0782982,1.12282,0.33126,0.293568
1.950476190,0.555447,0.390759,2.19421,0.272217,0.3258,2.13815,0.00347241,0.132654,0.0104266,1.31487,0.593936,0.181564
1.996916100,0.420931,0.280598,2.1104,0.290887,0.52207,2.26294,0,0.14517,0.01241,1.26546,0.904046,0.0908498
2.043356009,0.322168,0.0695966,1.97065,0.269027,0.532809,2.4529,0.129731,0.248864,0.0323905,1.16622,1.39503,0.0950217
2.089795918,0.529817,0.000667694,1.79928,0.222824,0.461538,2.4879,0.20615,0.200769,0.0488808,1.22448,1.21511,0.0323175
2.136235828,0.752296,0.000837374,2.03862,0.00911706,0.434034,2.36287,0.34253,0.106626,0.102437,1.50184,0.620592,0.0225061
2.182675737,0.832431,0.00081693,2.20061,0.0127841,0.44603,2.07669,0.530389,0.110258,0.156225,1.51201,0.583343,0.0623754
2.229115646,1.06904,0.00118432,2.06213,0.0130226,0.503311,1.89901,0.522777,0.00262779,0.279909,1.32634,0.574155,0.0912941
2.275555556,1.20064,0.00172568,1.4102,0.345125,0.505439,2.11899,0.154247,0,0.361849,1.5557,0.577938,0.128427
2.321995465,1.19094,0.022529,0.600703,1.07281,0.526254,2.30607,0.118978,0,0.415785,2.09722,0.422488,0.0941663
2.368435374,1.06869,0.0687903,0.664203,1.29093,0.579896,2.14043,0.141845,0,0.411129,2.21454,0.219015,0.097486
2.414875283,1.02713,0.157974,1.01159,0.751231,0.637066,1.97421,0.052388,0,0.369105,2.07771,0.180184,0.290663
2.461315193,0.802156,0.195003,1.34533,0.490014,0.438569,2.36742,0.0208637,0.0236296,0.513062,1.83355,0.218872,0.109543
2.507755102,0.606242,0.0244437,1.48447,0.153906,0.664869,2.53931,0.0328539,0,0.625317,2.17605,0.0308383,0.0644909
2.554195011,0.579937,0.000137765,1.76552,0.0158596,0.883702,2.59075,0.0233973,0,0.510318,2.35438,0.00649657,0.0417802
2.600634921,0.75657,0,2.15242,0.0566527,1.06372,2.50073,0.184373,0,0.376657,2.13294,0.0646691,0.00326442
2.647074830,0.751996,0,2.24423,0.220783,1.09955,2.4575,0.497083,0,0.173105,1.78089,0.214992,0.172669
2.693514739,0.680256,0,2.13793,0.272782,0.984833,2.53116,0.64549,0.0325749,0.238465,1.58482,0.299898,0.348384
2.739954649,0.631426,0,2.0738,0.293073,1.03295,2.38502,0.68948,0.0346103,0.287426,1.53025,0.168414,0.46413
2.786394558,0.934161,0,1.71482,0.0354802,0.996986,2.26697,0.615599,0.032342,0.667633,1.72615,0.0439439,0.466605
2.832834467,1.14278,0.000394382,1.51142,0.0137405,0.908172,2.43373,0.294959,0.0832947,0.749967,1.86986,0.0597053,0.405879
2.879274376,0.757911,0.00244273,1.51799,0.00194294,0.870172,2.35566,0.656664,0.30056,0.733148,1.89846,0.0448682,0.486908
2.925714286,0.399184,0.00322602,1.63403,0,0.737563,2.39756,0.953296,0.318111,0.683024,1.81414,0.00861389,0.528758
2.972154195,0.400633,0.25543,2.13519,0.00107939,0.549002,2.35124,0.872756,0.0303935,0.687201,1.63081,0.00930314,0.560334
