TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-386.512,16.9367,2.70737,-4.76011,-11.5237,-6.22862,-8.0298,-1.35486,-0.841001,-1.46106,-3.95915,-3.36823,-3.78494,0.241761,0.53127,1.7463,4.25185,0.531242,-0.837276,-3.94654,-0.937065
0.023219955,-330.689,36.5474,9.67771,-3.86406,-10.9687,-8.71544,-6.05544,-0.504215,0.626259,-0.512028,-2.98706,-2.1931,-1.59497,0.558917,3.52271,3.67345,2.8931,1.04512,-1.66077,-0.842882,-0.159157
0.046439909,-327.485,40.3275,11.0219,-2.48301,-8.34373,-7.72118,-5.57997,-1.36387,-0.443212,-2.52711,-3.86603,-5.05171,-3.19288,-2.31662,0.188456,2.60441,1.75221,2.31378,-0.398921,-0.135644,-0.619285
0.069659864,-325.229,30.7804,12.7861,2.29486,-9.54119,-8.34687,-5.10157,-2.35357,1.09633,0.371225,-3.67178,-4.97022,-5.85209,-0.834328,0.57597,1.56464,1.2352,0.745812,0.767969,0.063352,1.80482
0.092879819,-331.444,37.7993,12.9402,2.68137,-3.94658,-6.20256,-4.06134,-1.43543,-2.04133,-3.97469,-4.72852,-1.10878,-2.15289,-1.50984,-0.330167,1.18952,3.23477,-0.0985362,-0.876822,0.101835,1.03294
0.116099773,-337.384,34.679,15.8921,5.36285,-2.51511,-5.66678,-4.78507,-2.12519,-2.32355,-3.36178,-5.49929,-5.5971,-4.55129,-1.10559,-0.219427,2.28598,0.144711,-1.00891,-0.869109,0.310505,1.08874
0.139319728,-340.371,35.4231,14.3544,4.77969,-1.94198,-4.60425,-5.54019,-0.661426,-0.183448,-4.16643,-5.38861,-4.87046,-4.45782,-2.45743,0.314602,1.97609,0.428367,-0.758537,-1.11157,-0.877598,-0.476149
0.162539683,-341.792,32.7145,12.4763,3.94369,-1.14305,-2.60363,-6.5812,-2.54837,-1.77718,-2.69473,-2.72347,-3.60567,-4.4901,-1.15141,-1.48279,-0.0340263,-0.470811,0.122816,1.79595,-0.979626,-1.40325
0.185759637,-336.246,31.5819,11.7742,1.34663,-4.80014,-2.21754,-6.09737,-3.22647,-1.14269,-2.95079,-3.79236,-2.94439,-2.98878,-1.5865,-0.798713,1.12322,1.26947,1.7877,-1.03608,-1.45165,0.635519
0.208979592,-344.313,30.4769,13.8133,4.94478,-0.786932,-0.210405,-2.57437,-1.69468,-1.05063,-5.23749,-5.84677,-1.72189,-0.14378,0.32551,1.2421,2.10509,-0.00897182,-0.77474,-1.28362,-0.719728,-0.877737
0.232199546,-346.618,29.3082,14.6769,5.10104,-1.8432,-2.56518,-4.71023,-1.13722,-1.49127,-2.18311,-2.86191,-1.18395,-3.26174,-0.685947,1.18368,1.54709,0.428881,2.57235,0.750694,0.107842,0.146924
