TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.00013398,0.876023,1.45951,0.131743,0.0743184,1.0389,0.0642463,0.691772,1.99667,0.221134,0.790055,0.0315553
0.046439909,0.00021629,0.968843,1.75814,0.141001,0.0838073,1.09302,0.0692422,0.851872,2.03278,0.13818,0.836571,0.00980713
0.092879819,0.00026349,1.00449,2.04585,0.177121,0.0748451,1.20812,0.083831,0.865573,1.97404,0.158587,0.940511,0.0118672
0.139319728,0.000590583,0.939645,2.17734,0.14492,0.00420614,1.26952,0.0953634,0.805898,1.7146,0.167322,1.24522,0.0495746
0.185759637,0.000721399,0.730634,2.28264,0.125237,0,1.27355,0.0867818,0.848753,1.19379,0.166513,1.6095,0.0226118
0.232199546,0.000777146,0.721157,2.41383,0.137976,0.0496668,1.44242,0.0478767,0.748126,0.701859,0.310644,1.85425,0.00956085
0.278639456,0.000810212,0.836404,2.32368,0.226409,0.085711,1.52437,0.0410323,0.710351,0.645544,0.441933,1.89224,0.0399736
0.325079365,0.000739722,0.673455,2.516,0.324719,0.0730364,1.21494,0.0754156,0.673103,0.66253,0.707322,1.79495,0.0878563
0.371519274,0.000515074,0.559394,2.53442,0.425975,0.119974,1.14721,0.156439,0.631215,1.03685,0.858632,1.61708,0.104108
0.417959184,0.10461,0.636325,2.44595,0.762606,0.474214,1.05296,0.0922378,0.36728,1.31668,1.53912,1.568,0.074976
0.464399093,0.02445,0.213189,2.13518,0.380551,0.144663,1.11313,0.0237264,0.0146814,0.203818,2.33616,1.03938,0.0947311
0.510839002,0.000355308,0.307741,1.47551,0.410943,0.0859705,0.667362,0.277994,0.0328485,0,2.36419,0.679469,0.0119612
0.557278912,0.000545267,0.211638,1.35919,0.262608,0.0552632,0.382864,0.137613,0.0369177,0,2.05881,0.599066,0.0199592
0.603718821,0.000463815,0.190466,1.32171,0.0402689,0.0509862,0.380125,0.1048,0.0372166,0,1.85216,0.516509,0.0625234
0.650158730,0.0587104,0.029691,0.409536,0.229998,0.0114071,0.624484,0.0692246,0.0272146,0,1.80165,0.64111,0.083715
0.696598639,0.0436994,0.00243753,0.210796,0.377411,0.0132964,1.34908,0.0465287,0.0110585,0,1.64656,0.474804,0.0977328
0.743038549,0.0356415,0.00326821,0.141665,0.314141,0.0198466,1.88485,0.170445,0.00603809,0,1.76377,0.421065,0
0.789478458,0.034256,0.139594,0.06356,0.27451,0.00395182,2.40626,0.115773,0.00719812,0.0034749,1.81213,0.424055,0.143678
0.835918367,0.0632356,0,0.00212563,0.301776,0.00348654,3.05226,0.0511318,0.019619,0,2.22322,0.469043,0.230146
0.882358277,0.0985431,0,0.0756808,0.284239,0,3.40532,0,0.0328773,0.000164536,2.40195,0.490131,0.209422
0.928798186,0.1002,0,0.0164148,0.281171,0.00440541,3.54434,0.00144341,0.039419,0.00984631,2.31854,0.45436,0.155821
0.975238095,0.0635386,0,0.0219675,0.362245,0.041395,3.3055,0,0.034648,0.0224795,2.56807,0.431784,0
1.021678005,0.000561608,0.000249854,0.822572,0.270713,0.183863,2.33326,0.013048,0.0170597,0.0173273,2.56347,0.457331,0.0899642
1.068117914,0.000580554,0.07295,1.74201,0.237979,0.246206,1.44485,0.0232031,0,0.0442508,2.31192,0.282476,0.148819
1.114557823,0.000553393,0.0933249,1.83379,0.297616,0.266668,1.37223,0.0213501,0,0.145497,2.12769,0.300125,0.140857
1.160997732,0.000358747,0.108771,1.77143,0.348386,0.295875,1.24956,0.0472148,0,0.224037,1.7951,0.636723,0.0950372
1.207437642,0,0.13304,1.70392,0.279637,0.303098,1.04548,0.263492,0.028233,0.532268,1.25095,1.37356,0.00760798
1.253877551,0,0.210991,1.88011,0.259379,0.197667,0.904825,0.130933,1.04719,0.68126,0.108122,2.41718,0
1.300317460,0,0.185097,2.29886,0.181278,0.276474,0.985903,0.114917,0.00300429,0.822973,1.77092,1.21263,0
1.346757370,0,0.264478,1.83713,0.0985932,0.187665,0.352211,0.380338,0,0.873504,2.23887,0.733542,0
1.393197279,0,0.296662,1.48803,0.0883965,0.180873,0.16846,0.215888,0,0.524989,2.54264,0.423423,0.0123509
1.439637188,0,0.276458,0.86173,0.218728,0.196746,0.251848,0.214894,0.0358752,0.00642312,2.71264,0.259651,0
1.486077098,0.000142097,0.133615,0.22545,0.344613,0.0170846,1.59488,0.290303,0.0474987,0,2.5696,0.20749,0
1.532517007,0,0.0845583,0.0500395,0.256601,0.0230701,2.16244,0.227226,0.00855849,0.0904864,2.29808,0.225982,0.0196857
1.578956916,0,0.267778,0.00550094,0.207703,0.102308,2.30083,0.292512,0.00523271,0.0878195,2.08647,0.129216,0
1.625396825,0.183724,0.393438,0.0753483,0.19684,0.0394835,2.53027,0.24,0,0.0872026,1.73461,0.0704436,0
1.671836735,0.851397,0.184477,0.322801,0.252479,0.0197383,2.63338,0.14072,0.321477,0.0563108,0.990233,0.0444915,0.00808823
1.718276644,1.1704,0,0.55846,0.310736,0.0208111,2.45132,0.138239,1.35448,0,0.70799,0.0572662,0.0729956
1.764716553,1.41833,0.0207351,0.736384,0.119127,0,1.99902,0.0957814,1.90259,0,0.653032,0.0256735,0.172377
1.811156463,1.77053,0.0892087,0.810529,0.00967713,0.0184828,1.98488,0.0548314,2.29205,0,0.757361,0.00136403,0.22599
1.857596372,2.09452,0.045331,0.63898,0.00287572,0.0387454,2.06228,0.0197006,3.00883,0,0.868595,0,0.159242
1.904036281,2.28887,0.0402967,0.674499,0.117322,0.0265329,2.35792,0.000335583,2.76087,0.00195333,0.879404,0.0266693,0.0206982
1.950476190,2.44018,0.000213995,0.420355,0.241155,0.0258942,2.8363,0.00206071,2.27867,0.00640509,0.793228,0.0159635,0.00225514
1.996916100,2.55597,0.00633655,0.229796,0.267984,0.0250778,3.09845,0.0278231,2.29521,0.00766986,0.549045,0,0
2.043356009,2.62293,0.109104,0.0386189,0.0332134,0,3.30796,0.0318653,2.47086,0.0131406,0.276728,0,0.0104843
2.089795918,2.72938,0.0723745,0.0132058,0.0348168,1.52901e-05,3.45269,0.0258669,2.324,0.00547381,0.201335,0,0.142314
2.136235828,2.75028,0,0.082498,0.0954605,0.0193469,3.5625,0.0313265,1.94857,0.00369769,0.336575,0.0716914,0.0697655
2.182675737,2.43087,0.00315867,0.356435,0.290176,0.0363089,3.39802,0.0248215,1.61739,0.00179427,0.390709,0.127099,0.334071
2.229115646,2.14718,0.0679179,0.660497,0.252265,0.0468592,2.8737,0,1.03506,0.419496,0.328488,0.281935,0.33555
2.275555556,1.11874,0.365147,1.14596,0.0481614,0.0709933,2.18062,0.0117766,0.276273,0.94653,0.386163,0.484875,0.245448
2.321995465,0.363563,0.961267,1.10565,0.0268263,0.0505498,1.47832,0.107557,0.261766,1.01103,0.564956,0.722337,0.151882
2.368435374,0.0863971,1.01015,0.702041,0.0222049,0.027598,0.916015,0.498248,0.431389,1.55265,0.352188,0.578029,0.128375
2.414875283,0.364644,0.534549,0.54345,0.274043,0.0108864,0.792709,0.473132,0.21151,1.65434,0.63674,0.452546,0.0715503
2.461315193,0.388258,0.232911,0.669027,0.351682,0.0334127,0.610924,0.119702,0.176779,1.80743,0.768913,0.468035,0.100955
2.507755102,0.435742,0,0.894692,0.388902,0,0.797687,0.0579395,0.307156,1.71869,0.766341,0.614479,0.0327038
2.554195011,0.789065,0.00100423,1.14728,0.496799,0,1.01706,0.47384,0.253629,1.27509,0.819891,0.707577,0
2.600634921,0.930614,0.00193745,1.3784,0.71717,0.0648129,1.45886,0.845528,0.234022,1.13002,0.836886,0.762278,0.00326332
2.647074830,0.95855,0.938605,1.32832,0.373038,0.39483,1.93934,0.209004,0.23298,0.604871,1.03891,0.901988,0.0243307
2.693514739,1.07332,0.811488,1.43038,0.127137,0.274814,2.05548,0.0221795,0.0247419,0.416898,1.8977,0.949591,0.0350921
2.739954649,0.551707,0.74187,1.3892,0.0425178,0.281522,1.83541,0.0274539,0.00788705,0,2.80511,0.241002,0.00399027
2.786394558,0.0128551,0.648503,1.30968,0.0554956,0.571467,1.40942,0.023736,0.00541304,0,3.12041,0.205176,0
2.832834467,0,0.669844,0.990583,0.219383,0.727939,1.20588,0.0191091,0.0497854,0,3.29042,0.272611,0
2.879274376,0,0.829114,1.03178,0.101992,0.710919,1.45289,0.0120087,0.00264834,0,3.23163,0.311679,0.025071
2.925714286,0,0.840839,0.943105,0.102411,0.555627,2.46454,0.00612142,0.0096232,0,3.04645,0.294633,0.0612206
2.972154195,0.0130154,0.755024,0.680853,0.0981393,0.140339,2.95111,0.0584225,0.0307908,0,2.9153,0.285227,0.0893449
3.018594104,0.040868,0.66353,0.376478,0.0608422,0.0382624,2.95015,0.142571,0.0269186,0,2.77112,0.28591,0.0896528
3.065034014,0.101982,0.615821,0.087128,0.0473932,0.00723135,2.72483,0.254144,0.00770758,0,2.25886,0.306577,0.0465756
3.111473923,0,0.343137,0.0426099,0.0557592,0,2.36751,0.474936,0.00968893,0,1.78162,0.298859,0.0049369
3.157913832,0,0.143691,0.258916,0.0396977,0,1.64982,0.535165,0.0156244,0,1.85307,0.251814,0.00692032
3.204353741,0,0.0947683,0.245935,0.0375653,0.00957095,0.991159,0.449451,0.0272591,0.00383524,2.212,0.481529,0.105448
3.250793651,0.0454075,0.483244,0.296523,0.0240085,0.015171,0.997766,0.251392,0.100906,0.210828,2.57686,0.279533,0.134992
3.297233560,0.092466,1.0248,0.151177,0.00219989,0.0180119,0.657488,0.00774612,0.399807,0.453318,2.33515,0.596463,0.2267
3.343673469,0.248129,1.16406,0.116213,0,0.0200471,0.359535,0.0708547,0.409957,0.480284,1.94228,1.18896,0.181659
3.390113379,0.3568,1.3492,0.315945,0,0.0183163,0.597133,0.224506,0.468883,0.471801,1.31422,1.24515,0.13188
3.436553288,0.339016,1.63836,0.730342,0.0136303,0.0120626,1.1942,0.343005,0.194447,0.289917,0.36947,2.03245,0.112411
3.482993197,0.410029,1.13524,0.74307,0.0264096,0.200951,1.32584,0.228191,0.121691,0.0939277,0.412581,2.78477,0.130507
3.529433107,0.47936,0.418375,0.296286,0.0111948,0.404417,1.06908,0,0.194677,0.0889245,1.48667,2.3821,0.128843
3.575873016,0.0585698,0.229701,0.623008,0.0105125,0.531544,1.30304,0.0163188,0.179503,0.0041437,1.93513,1.46743,0.0287933
3.622312925,0.000134275,0.204387,0.864686,0.109139,0.474368,1.34907,0.0259814,0.171371,0.00082647,2.42481,1.04099,0.0142114
3.668752834,8.13734e-05,0.182723,1.02682,0.147946,0.394637,1.19946,0.0259776,0.148499,0.0278762,2.95906,0.43684,0.011752
3.715192744,6.36819e-05,0.141324,1.24052,0.120483,0.465773,1.17534,0.0204102,0.120705,0.0438356,3.02855,0.131996,0
3.761632653,0.0626498,0.0647243,1.53083,0.0579474,0.215539,2.56636,0,0.331735,0.0429674,2.67059,0.105447,0
3.808072562,0.166393,0.272119,1.40203,0.0657086,0.00212663,3.07508,0,0.78864,0.2456,2.22389,0.11024,0
3.854512472,0.0794248,0.430505,1.03361,0.268663,0.00589599,3.10376,0,0.932519,0.111501,1.92073,0.150814,0
3.900952381,0.0659673,0.486476,0.847632,0.383503,0.014645,2.79101,0.477336,0.80725,0,2.09265,0.292843,0
3.947392290,0.277983,0.520115,0.814283,0.39772,0.00515677,2.41222,0.866248,0.244906,0.0195388,2.09147,0.340611,0.0276219
3.993832200,0.237752,0.601007,0.645984,0.355369,0.0206833,2.07699,0.904788,0,0.0501915,1.96435,0.401544,0.0619357
4.040272109,0.0440571,0.73539,0.0889028,0.294154,0.161833,2.34076,0.72426,0.0293655,0.0826258,1.78194,0.483051,0.05575
4.086712018,0.000544026,0.76956,0.0214558,0.240773,0.448214,2.044,0.638621,0.0566134,0.419055,0.797347,0.527084,0.0609676
4.133151927,0.000627422,0.664023,0.968747,1.28384,0.509901,1.49913,0.498812,0.318531,0.412265,0.469153,0.10996,0.379794
4.179591837,0.000706078,0.280678,1.6519,2.00568,0.521987,0.223507,0.254297,0.412338,0.267912,0.200981,0.0456292,0.854366
4.226031746,0.0174734,0.0194387,2.04323,2.00374,0.557912,0,0.297678,0.324713,0.171801,0.245017,0.0777489,0.734543
4.272471655,1.02124,0.0616337,2.27888,1.84296,0.368444,0.0143245,0.19904,0.20926,0.0912637,0.274475,0.0452325,0.484154
4.318911565,1.98595,0.338854,2.11465,1.31118,0.324429,0.230145,0.206182,0.368688,0,0.199032,0.00190311,0.390532
4.365351474,2.44027,0.445445,0.848553,0.0723874,0.316076,1.1375,0.256023,0.842152,0,0.361865,0,0.466751
4.411791383,1.42226,0.571826,0.066046,0.151488,0.339409,1.11832,0,1.05424,0.00168378,0.515728,0.664406,0.548138
4.458231293,0.789145,0.389837,0,0.16601,0.287449,1.08546,0,1.06606,0.0421984,0.932329,1.10913,0.484534
4.504671202,0.179454,0.365959,0.0180738,0.304326,0.255784,1.11423,0.00527192,0.936676,0.0650415,1.58713,1.09122,0.471724
4.551111111,0.155043,0.429586,1.28457e-05,0.361939,0.281917,1.2718,0.0247801,0.99246,0.00122694,2.04023,0.922479,0.391902
4.597551020,0.4607,0.242994,0,0.224522,0.247553,1.41431,0.140494,0.925629,0.000665524,2.0223,0.727662,0.135791
4.643990930,0.964189,0.031335,0.66653,0,0.246397,1.75079,0.230475,0.681549,0.00148307,1.5962,0.426914,0.126308
4.690430839,1.6421,0.00170533,0.894078,0,0.34111,1.79757,0.175276,0.570017,0,1.41099,0.0571372,0.107395
4.736870748,2.44525,0.00179559,0.538435,0.181722,0.541806,1.39153,0.13339,0.364159,0,1.49319,0.104396,0.0592669
4.783310658,2.6777,0.00812915,0.0759724,0.57965,0.566882,0.82461,0.246072,0.336299,0.0442201,1.42544,0.249187,0.00420245
4.829750567,2.0241,0.0608378,0.0270324,0.867091,0.551694,0.609185,0.434527,0.382065,0.0679296,1.0522,0.331144,0.0176622
4.876190476,1.43728,0.0183029,0.983189,0.271226,0.244319,0.650663,0.819954,0.377428,0.0626056,0.0881922,0.497348,0.397019
4.922630385,1.1581,0.0756575,0.742102,0,0.473019,1.11081,0.396557,1.30103,0.988255,0.00938736,0.266466,0.325259
4.969070295,0.91149,0.175968,0.762066,0,0.432071,1.10962,0.0325331,1.93342,0.875314,0.00751914,0.0141876,0.312982
5.015510204,0.96803,0.238268,0.942722,0.00936392,0.442192,0.894863,0,2.19067,0.677023,0.132267,0.000305166,0.321608
5.061950113,0.893857,0.268244,1.04452,0.0129711,0.510702,0.693686,0,2.41137,0.713464,0.150884,0.0085928,0.302935
5.108390023,0.546988,0,1.07142,0.0149434,1.43106,0.361551,0,2.50082,1.07686,0.0643036,0.0273139,0.169717
5.154829932,0.159345,0,0.642536,0.015812,2.51731,0.23004,0,2.45434,1.04526,0.0903422,0.0416688,0.0381583
5.201269841,0.0684094,0,0.36494,0.0134714,3.02854,0.129539,0,2.26953,0.944515,0.100211,0.0618766,0
5.247709751,0.190243,0.000276761,0.0821911,0.0463099,3.28835,0.0158304,0,1.66407,1.02506,0.00558853,0.316627,0.0416186
5.294149660,0.1161,0.000256511,0.0459561,0.212882,3.10819,0.0219195,0.105763,0.937376,0.768486,0.00212697,0.415617,0.377734
5.340589569,0.0659496,0,0.0385146,0.206123,2.91891,0.01753,0.249554,1.38766,0.693657,0.000609869,0.391629,0.0407957
5.387029478,0.0587492,0,0.0888035,0.105917,2.63256,0.00242478,0.231397,1.96826,0.871328,0.0093169,0.416654,0
5.433469388,0.198749,0,0.423191,0.0641507,2.26625,0.00036377,0.208811,2.50751,0.901648,0.109203,0.298494,0.058371
5.479909297,0.277133,0,0.901105,0.0389566,1.29448,0.205263,0.118367,2.7231,0.803797,0.080893,0.324876,0.0851465
5.526349206,0.128646,0,1.21159,0.00316672,0.588393,0.333315,0.0847477,2.56249,0.575737,0.242076,0.402017,0.197668
5.572789116,0.0974916,0.0820779,1.1444,0.00280937,0.290622,0.369845,0.0721056,2.36582,0.271998,0.386641,0.121236,0.292371
5.619229025,0.334186,0.320416,0.973132,0.139606,0.14689,0.589884,0.155155,2.13553,0.0197466,0.358295,0.042216,0.356921
5.665668934,0.636822,0.659758,0.544137,0.0333465,0.236487,1.5662,0.256461,1.35379,0.107285,1.04398,0.0872511,0.237617
5.712108844,0.704247,1.06217,0.449076,0.00944609,0.0230562,1.04144,0.382504,1.06658,0.363216,0.274483,0.416809,0.158827
5.758548753,0.421012,0.907058,0.375644,0.014382,0.100093,0.630736,0.198802,1.21421,0.228196,0.536594,0.424733,0.280307
5.804988662,0.202567,0.643812,0.250758,0.014583,0.356471,0.474294,0.148086,1.53953,0.145733,0.707055,0.328666,0.280723
5.851428571,0.53468,0.506855,0.285365,0.0127762,0.406375,0.236878,0.102546,1.9156,0.0710086,0.784885,0.142909,0.312534
5.897868481,1.33348,0.349749,0.163957,0.0178257,0.846683,0.066666,0.0716515,2.37489,0.198191,1.09826,0.0634926,0.19336
5.944308390,2.09479,0.186653,0.200903,0.0223116,2.24137,0.00308929,0.0189936,2.36074,0.290485,1.22027,0.0823162,0.0122743
5.990748299,2.60668,0.152469,0.258894,0.0285876,2.93545,0,0.0351987,1.81991,0.39386,1.11874,0.062102,0.10556
6.037188209,2.81006,0.0653941,0.110211,0.0282242,2.94534,4.13968e-05,0.185839,1.06056,0.416928,1.15154,0,0.221149
6.083628118,2.92265,0.0260861,0.0478946,0.0169799,2.82353,0.00373304,0.260562,0.714535,0.233252,1.02184,0,0.180673
6.130068027,3.01108,0.0336563,0.0130979,0.0771549,2.48046,0.00547287,0.20563,0.724839,0.253124,0.96081,0.0158436,0.199003
6.176507937,3.07117,0.0418881,0.0161993,0.0811617,2.28757,0.00780747,0.127277,0.724361,0.269479,1.02458,0,0.23325
