"year","Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Track Name Unique"
"2018","spotify:track:5uMheiXWd6KBFpkO8tvgfw","My City","My City","AFROJACK;DISTO","2018-05-18",180964,10,TRUE,NA,2018-12-24 13:20:15,"edm,big room","Wall Recordings",0.35,0.9,4,-4.113,0,0.12,0.00398,0.0594,0.264,0.279,127.891,4,"My City"
"2018","spotify:track:5ZR2E5XDiAPVOHTSsHmiXQ","DNA._2018","DAMN. COLLECTORS EDITION.","Kendrick Lamar","2017-12-08",185946,0,TRUE,NA,2018-12-24 13:20:15,"hip hop,west coast hip hop","Aftermath III JV",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4,"DNA._2018"
"2018","spotify:track:2dlEdDEmuQsrcXaAL3Znzi","You Make My Dreams (Come True)","The Essential Daryl Hall & John Oates","Daryl Hall & John Oates","2005-04-25",190706,57,FALSE,NA,2018-12-24 13:20:15,"yacht rock,soft rock","Legacy Recordings",0.737,0.569,5,-6.702,1,0.0552,0.261,0.308,0.046,0.912,167.202,4,"You Make My Dreams (Come True)"
"2018","spotify:track:5t2km0Knhxaq78R26FaiV9","Light It Up","Light It Up","Hardwell;Suyano;Richie Loop","2018-09-14",163593,0,FALSE,NA,2018-12-24 13:20:15,"big room,edm,progressive house,electronica,moombahton,dancehall,psytrance","Revealed Recordings",0.667,0.952,11,-3.412,0,0.0538,0.0182,0,0.0746,0.365,128.064,4,"Light It Up"
"2018","spotify:track:0Dp88Y1J8uqC8DwpknXCu5","Ain't No Mountain High Enough","Diamond Diana: The Legacy Collection","Diana Ross","2017-11-17",215200,0,FALSE,NA,2018-12-24 13:20:15,"motown,disco","Universal Music Group",0.389,0.775,0,-5.077,0,0.0433,0.189,0.00117,0.35,0.392,98.817,4,"Ain't No Mountain High Enough"
"2018","spotify:track:4ut5G4rgB1ClpMTMfjoIuy","High On Life (feat. Bonn)","High On Life (feat. Bonn)","Martin Garrix;Bonn","2018-07-29",230761,70,FALSE,NA,2018-12-24 13:20:15,"edm,progressive house,electronica","Epic Amsterdam",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,4,"High On Life (feat. Bonn)"
"2018","spotify:track:5T8EDUDqKcs6OSOwEsfqG7","Don't Stop Me Now - Remastered 2011","Jazz (2011 Remaster)","Queen","1978-11-10",209413,84,FALSE,NA,2018-12-24 13:20:15,"classic rock,rock,glam rock","EMI",0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4,"Don't Stop Me Now - Remastered 2011"
"2018","spotify:track:3T6R0ppqCnUW6iJhtUYhO3","The Logical Song - Remastered 2010_2018","Breakfast In America (Deluxe Edition)","Supertramp","1979-03-29",251253,0,FALSE,NA,2018-12-24 13:20:15,"progressive rock,classic rock","Universal Music Group",0.625,0.758,5,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719,4,"The Logical Song - Remastered 2010_2018"
"2018","spotify:track:2nvC4i2aMo4CzRjRflysah","In My Place_2018","A Rush of Blood to the Head","Coldplay","2002-08-27",226680,76,FALSE,NA,2018-12-24 13:20:15,NA,"Parlophone Records Limited",0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,4,"In My Place_2018"
"2018","spotify:track:1E1uGhNdBe6Dddbgs2KqtZ","Jumpsuit_2018","Trench","Twenty One Pilots","2018-10-05",238560,68,FALSE,NA,2018-12-24 13:20:15,NA,"Fueled By Ramen",0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,4,"Jumpsuit_2018"
"2018","spotify:track:0ipLnUeK5PODrTKyT3wVGT","Shoop","Very Necessary","Salt-N-Pepa","1993-10-12",248573,0,FALSE,NA,2018-12-24 13:20:15,"old school hip hop","Universal Music Group",0.939,0.68,0,-7.29,1,0.219,0.0881,0,0.0554,0.81,96.916,4,"Shoop"
